"","V1"
"1",163.796227486943
"2",242.132541187331
"3",193.206666928016
"4",205.6913983371
"5",240.798651716987
"6",259.015332125919
"7",259.015332125919
"8",219.637951988672
"9",228.933750350129
"10",241.741732630767
"11",250.721665917633
"12",252.553304729463
"13",253.227203123313
"14",254.392208277917
"15",258.724778541161
"16",258.724778541161
"17",255.753514750393
"18",259.640380860987
"19",257.707898170059
"20",259.84766609819
"21",258.28699923647
"22",260.09729045585
"23",259.475257723897
"24",260.811209490367
"25",260.344466543748
"26",260.886953960334
"27",260.886953960334
"28",254.049092058677
"29",256.429278039361
"30",257.916457329587
"31",260.016769038057
"32",259.577392842093
"33",260.962264314292
"34",260.747279514963
"35",261.108843020588
"36",261.108843020588
"37",259.630715460791
"38",258.868406937006
"39",255.074936449818
"40",259.569604588647
"41",259.569604588647
"42",248.863661199677
"43",254.955740461714
"44",260.325543183556
"45",259.552295281267
"46",260.232669617526
"47",260.927342269437
"48",260.927342269437
"49",260.017972930234
"50",260.438786620141
"51",261.042373870253
"52",260.908556197341
"53",261.182287520938
"54",261.182287520938
"55",260.364679577265
"56",260.976256385113
"57",260.976256385113
"58",249.690716043004
"59",257.212478480446
"60",255.39174940184
"61",260.265416326389
"62",259.615635806341
"63",260.774680158478
"64",260.774680158478
"65",232.986063203275
"66",243.282782058471
"67",254.178380345405
"68",257.092062085441
"69",259.598683569777
"70",257.499602058257
"71",258.889405841304
"72",260.672548923098
"73",260.672548923098
"74",258.030869721188
"75",259.227937893293
"76",260.689256591924
"77",260.181013267115
"78",260.859667969997
"79",260.490399167249
"80",260.972068663271
"81",260.972068663271
"82",259.172030944089
"83",260.644750890004
"84",260.081312012994
"85",260.814761967664
"86",260.557872322793
"87",261.076637785956
"88",261.076637785956
"89",257.183667684038
"90",259.667371490034
"91",257.790524991999
"92",259.885063585451
"93",259.885063585451
"94",252.094651810447
"95",258.116746344132
"96",254.616591897525
"97",256.814447981573
"98",259.720071624595
"99",259.720071624595
"100",256.597579510159
"101",259.563916660076
"102",259.563916660076
"103",246.815710861259
"104",259.006380328476
"105",259.006380328476
"106",226.091120109667
"107",234.596085758388
"108",254.358875899614
"109",244.304101063372
"110",249.782735536864
"111",251.903797517985
"112",252.724027752372
"113",254.285616562974
"114",256.33206479903
"115",258.235796895076
"116",260.231661874695
"117",259.398285843517
"118",260.626581719539
"119",260.098844833624
"120",260.526687201148
"121",260.752336818294
"122",260.825337430956
"123",261.08610291621
"124",260.860993878756
"125",261.094082250041
"126",261.094082250041
"127",261.060069814942
"128",261.016827151427
"129",260.449509615836
"130",260.946529407672
"131",260.946529407672
"132",258.032573418868
"133",260.076012652807
"134",258.914682630995
"135",259.542819386398
"136",260.105554731722
"137",260.621936488003
"138",260.984316806792
"139",261.15337881166
"140",261.246370644275
"141",261.211697800615
"142",261.274483138898
"143",261.274483138898
"144",261.2169637848
"145",261.080663992392
"146",260.871624519193
"147",259.912054329915
"148",260.106546091506
"149",260.226942138789
"150",260.811043068987
"151",260.330222918882
"152",260.823111776708
"153",261.262023825863
"154",261.262023825863
"155",260.453598822087
"156",260.562227262043
"157",260.974662716517
"158",260.699312686187
"159",260.786308330489
"160",260.858840198898
"161",261.120818405612
"162",261.120818405612
"163",261.057101397105
"164",260.921906653817
"165",261.185522064464
"166",261.185522064464
"167",260.924096484649
"168",260.652286334532
"169",261.193554975406
"170",261.193554975406
"171",260.408556389753
"172",261.0486632166
"173",261.0486632166
"174",260.001106883416
"175",260.992970747357
"176",260.992970747357
"177",255.52190484241
"178",257.320342049889
"179",260.06129654222
"180",258.768254990212
"181",259.161603924678
"182",260.17592819689
"183",261.130166082771
"184",261.130166082771
"185",260.389415633226
"186",260.27469848149
"187",258.251568314601
"188",260.259978099104
"189",260.800953214137
"190",261.219239735889
"191",261.219239735889
"192",260.898444537065
"193",260.72168374971
"194",255.329528506125
"195",258.655566407889
"196",260.727217285258
"197",260.253693156293
"198",260.45563383118
"199",260.511845710098
"200",260.726489004092
"201",261.111715381804
"202",261.111715381804
"203",260.545204099379
"204",260.943728972844
"205",260.598668513741
"206",260.883514059461
"207",261.21017011319
"208",261.21017011319
"209",260.988963102891
"210",260.912794602272
"211",260.642420643661
"212",260.88859569157
"213",261.122299791488
"214",261.040684468847
"215",261.230308339497
"216",261.230308339497
"217",261.084196192211
"218",256.964939159725
"219",258.930553282384
"220",260.918912719208
"221",260.918912719208
"222",257.250244400329
"223",257.580373117358
"224",258.104908398906
"225",259.269960484799
"226",260.665380766109
"227",260.665380766109
"228",258.703389244834
"229",259.233951980604
"230",259.768405789122
"231",260.252275186922
"232",260.66975430733
"233",260.943802670539
"234",261.201174612437
"235",261.201174612437
"236",261.057280778
"237",260.824794300821
"238",261.200888304867
"239",261.200888304867
"240",260.669823172081
"241",259.962178645732
"242",260.836551764928
"243",260.836551764928
"244",259.801175443943
"245",260.977993657284
"246",260.660514287577
"247",261.012536290816
"248",260.73881907841
"249",261.051613243531
"250",261.051613243531
"251",258.628599417845
"252",259.68450454362
"253",260.234054413207
"254",260.961692074276
"255",260.732428395147
"256",261.095583786345
"257",261.095583786345
"258",260.631232767663
"259",259.516821980695
"260",259.841190933319
"261",260.281140154306
"262",260.611437616685
"263",260.816020739925
"264",260.932329926215
"265",261.171184404816
"266",261.171184404816
"267",260.896492823054
"268",260.970944371046
"269",261.002570645031
