"","V1"
"1",174.19211404297
"2",257.38324531454
"3",205.685453233974
"4",218.98401662747
"5",256.062888549579
"6",275.042270611955
"7",275.042270611955
"8",233.792307926599
"9",243.622599455228
"10",257.090672803803
"11",266.475158133008
"12",268.378269442363
"13",269.076998630689
"14",270.283483367444
"15",274.743543593007
"16",274.743543593007
"17",271.689484123197
"18",275.683727476099
"19",273.704081154558
"20",275.89607165867
"21",274.299026282159
"22",276.151514659379
"23",275.516565061025
"24",276.880258632067
"25",276.404888495028
"26",276.957403148826
"27",276.957403148826
"28",269.927966888797
"29",272.387301678626
"30",273.918377701872
"31",276.069149944476
"32",275.620746990285
"33",277.034069935434
"34",276.815366722696
"35",277.183183891798
"36",277.183183891798
"37",275.673821329779
"38",274.891253497313
"39",270.987944597
"40",275.61117849505
"41",275.61117849505
"42",264.541907851986
"43",270.859094581499
"44",276.384811694394
"45",275.595668161647
"46",276.290790713897
"47",276.99852336441
"48",276.99852336441
"49",276.071685306342
"50",276.500996891934
"51",277.115582510179
"52",276.979518304823
"53",277.257845032647
"54",277.257845032647
"55",276.425461547926
"56",277.048310047612
"57",277.048310047612
"58",265.403134586786
"59",273.183866711727
"60",271.311503752045
"61",276.323382528832
"62",275.660338630639
"63",276.843041499852
"64",276.843041499852
"65",247.89690230908
"66",258.702467568466
"67",270.059977780369
"68",273.070489269113
"69",275.640988551271
"70",273.489894238317
"71",274.91637473264
"72",276.738944641261
"73",276.738944641261
"74",274.035977095574
"75",275.263477847555
"76",276.755978113334
"77",276.238109191957
"78",276.929616904528
"79",276.55367691857
"80",277.044048220514
"81",277.044048220514
"82",275.206274286447
"83",276.710600903642
"84",276.136339461251
"85",276.883877563566
"86",276.622396685638
"87",277.150433729773
"88",277.150433729773
"89",273.164773145252
"90",275.711388128437
"91",273.789019418066
"92",275.934360264498
"93",275.934360264498
"94",267.902018078728
"95",274.117388651221
"96",270.51517951561
"97",272.784340275172
"98",275.765386848988
"99",275.765386848988
"100",272.560995406075
"101",275.60534712114
"102",275.60534712114
"103",262.387042245628
"104",275.033071955802
"105",275.033071955802
"106",240.62164946684
"107",249.588194882564
"108",270.223262297505
"109",259.779839717672
"110",265.498111371628
"111",267.704155035725
"112",268.555223871023
"113",270.17311037612
"114",272.28692293785
"115",274.246275778391
"116",276.288888585792
"117",275.438073139761
"118",276.69207261241
"119",276.15422294682
"120",276.590649507435
"121",276.820532468513
"122",276.894847945277
"123",277.160059730436
"124",276.931137758656
"125",277.168174219551
"126",277.168174219551
"127",277.133582739995
"128",277.089592892626
"129",276.511996853673
"130",277.018054595586
"131",277.018054595586
"132",274.037665148304
"133",276.129752934096
"134",274.942857652115
"135",275.586024197505
"136",276.161056260478
"137",276.687690819135
"138",277.056587452584
"139",277.228482197696
"140",277.322959571015
"141",277.287739800379
"142",277.351515510134
"143",277.351515510134
"144",277.293082938169
"145",277.154528438701
"146",276.941793232876
"147",275.963499521217
"148",276.16211882507
"149",276.285000609237
"150",276.88008909564
"151",276.390362318588
"152",276.892455611094
"153",277.338860349729
"154",277.338860349729
"155",276.516171639163
"156",276.626889038654
"157",277.046688190986
"158",276.766535446781
"159",276.855119977718
"160",276.92894261849
"161",277.195360139364
"162",277.195360139364
"163",277.13056342342
"164",276.993102690991
"165",277.261132314806
"166",277.261132314806
"167",276.995219140388
"168",276.718501600476
"169",277.269295890475
"170",277.269295890475
"171",276.470152739125
"172",277.121980238752
"173",277.121980238752
"174",276.054168694382
"175",277.065319060762
"176",277.065319060762
"177",271.451305840925
"178",273.304869172443
"179",276.114700797659
"180",274.792791799345
"181",275.195881947504
"182",276.232504670551
"183",277.204863935447
"184",277.204863935447
"185",276.450046323144
"186",276.332866983688
"187",274.260871358945
"188",276.318683172893
"189",276.869941028896
"190",277.29539546201
"191",277.29539546201
"192",276.969102998916
"193",276.789032890726
"194",271.251771360515
"195",274.676116605546
"196",276.794672901406
"197",276.312275390358
"198",276.5182477541
"199",276.5755463369
"200",276.794190250123
"201",277.186104518604
"202",277.186104518604
"203",276.609543910588
"204",277.015204084901
"205",276.664020248706
"206",276.954012876315
"207",277.286179884339
"208",277.286179884339
"209",277.061240931192
"210",276.983713251903
"211",276.708562081713
"212",276.959224210081
"213",277.196866305578
"214",277.11391610105
"215",277.30664141714
"216",277.30664141714
"217",277.158120647366
"218",272.939613068659
"219",274.957664910893
"220",276.989941904857
"221",276.989941904857
"222",273.233312878759
"223",273.572978086905
"224",274.111998964797
"225",275.30658351124
"226",276.731636199571
"227",276.731636199571
"228",274.726299536244
"229",275.269906409251
"230",275.816703033574
"231",276.310790032446
"232",276.736424976235
"233",277.015375594591
"234",277.277039060005
"235",277.277039060005
"236",277.130745881763
"237",276.89423851438
"238",277.276748117933
"239",277.276748117933
"240",276.736165581424
"241",276.014625580614
"242",276.906073275779
"243",276.906073275779
"244",275.849754896342
"245",277.050078029214
"246",276.727023781655
"247",277.085227224876
"248",276.806769071848
"249",277.12498101304
"250",277.12498101304
"251",274.649201483024
"252",275.730937235041
"253",276.292170694811
"254",277.033487524461
"255",276.800248031411
"256",277.169701141747
"257",277.169701141747
"258",276.696815773378
"259",275.559470820107
"260",275.891048680683
"261",276.340285322919
"262",276.677005008815
"263",276.885365277021
"264",277.003714491953
"265",277.246560337623
"266",277.246560337623
"267",276.967257824521
"268",277.043002078429
"269",277.075167980397
"270",277.134550424946
"271",277.281193555414
"272",277.281193555414
"273",277.183120811632
"274",277.328268467636
"275",277.328268467636
"276",277.223629385179
"277",277.211890461947
"278",276.896560560447
"279",276.932795576452
"280",277.168536532749
"281",277.168536532749
"282",277.161279676963
"283",276.714882920734
"284",277.168643446327
"285",277.168643446327
"286",276.209303745901
"287",276.272887594337
"288",276.395131907848
"289",276.522450117452
"290",276.99909341984
"291",276.99909341984
"292",276.946325300225
"293",276.834159770708
"294",277.342666253569
"295",277.342666253569
"296",276.239135140077
"297",276.852249613762
"298",276.852249613762
"299",276.379248498415
"300",277.241374282474
"301",277.241374282474
"302",275.712862139105
"303",268.652338202943
"304",272.85370060199
"305",275.444396178875
"306",275.670227813848
"307",276.675782617008
"308",276.675782617008
"309",276.509922257825
"310",276.483410615106
"311",271.166324103245
"312",275.007744768977
"313",277.1207784874
"314",277.1207784874
"315",274.682952304949
"316",276.888009805781
"317",276.539406028011
"318",276.749293939608
"319",276.886996787953
"320",277.200774123404
"321",277.200774123404
"322",277.084742754048
"323",277.071485238906
"324",269.834478906325
"325",271.765087551963
"326",272.713038539482
"327",275.733548990025
"328",274.069343274042
"329",275.178036038725
"330",276.296955021224
"331",277.099707585534
"332",276.958442408577
"333",277.14877650827
"334",277.284655782764
"335",277.187263400645
"336",277.291007910223
"337",277.291007910223
"338",277.253367664055
"339",276.139876165523
"340",276.882280033759
"341",277.311422556055
"342",277.311422556055
"343",276.731244001557
"344",277.039590222637
"345",277.258785877193
"346",277.136257071768
"347",277.267091638017
"348",277.267091638017
"349",276.958963133948
"350",277.181752426431
"351",277.181752426431
"352",275.240485704727
"353",276.679845483335
"354",276.679845483335
"355",273.511539940676
"356",275.636951382133
"357",276.463118900874
"358",277.04416723588
"359",277.04416723588
"360",276.307980923376
"361",276.416178663743
"362",276.568854076788
"363",276.742651786864
"364",277.105339848163
"365",277.105339848163
"366",277.044479696825
"367",276.52175869371
"368",276.661522571531
"369",276.76081795388
"370",277.094477878603
"371",277.070480147762
"372",277.363702622409
"373",277.363702622409
"374",276.77756730309
"375",276.898728502949
"376",277.026632196541
"377",277.155182818724
"378",277.273794705483
"379",277.349416537756
"380",277.349416537756
"381",277.311239561181
"382",277.232749085324
"383",277.186892438739
"384",277.110169224481
"385",277.001422155611
"386",276.395019741867
"387",276.442828433358
"388",276.524448146533
"389",276.998843066686
"390",276.636226801204
"391",276.810838151845
"392",276.958890851014
"393",277.192917941035
"394",277.192917941035
"395",277.161778145754
"396",277.020742424842
"397",277.357393582932
"398",277.357393582932
"399",276.546522736836
"400",276.703296233009
"401",276.794789717437
"402",277.105145231771
"403",277.105145231771
"404",276.82317786659
"405",276.906265725765
"406",277.016757341888
"407",277.090348545033
"408",277.104940515866
"409",277.162636572029
"410",277.299895900339
"411",277.238151780709
"412",277.276844196794
"413",277.300415623458
"414",277.343699699903
"415",277.380997753308
"416",277.380997753308
"417",277.348988310971
"418",277.326007783563
"419",277.374306937203
"420",277.374306937203
"421",277.325668144905
"422",277.251573292364
"423",277.121781086753
"424",277.267901003688
"425",277.155963998846
"426",277.277179350553
"427",277.17415003563
"428",277.285658196477
"429",277.277251956008
"430",277.378021515708
"431",277.378021515708
"432",277.237424993449
"433",276.97666115121
"434",277.069160852472
"435",277.207942647017
"436",277.287610683716
"437",277.307436871237
"438",277.353800339742
"439",277.353800339742
"440",277.340214204315
"441",277.334176361536
"442",277.160476883989
"443",277.194824004933
"444",277.208053278369
"445",277.3009572158
"446",277.222646288722
"447",277.309396111799
"448",277.309396111799
"449",277.213252266739
"450",277.306052929031
"451",277.306052929031
"452",277.287990479946
"453",277.199119171967
"454",277.13185026164
"455",276.681779706095
"456",276.87466015274
"457",277.094330771968
"458",277.284980873327
"459",277.284980873327
"460",277.070429118295
"461",277.262022758349
"462",277.166514546051
"463",277.293306289223
"464",277.230339782166
"465",277.279642138562
"466",277.3419396009
"467",277.3419396009
"468",277.324557575227
"469",276.921532225166
"470",277.243670752461
"471",277.199108988749
"472",277.343054930894
"473",277.343054930894
"474",276.55725488626
"475",276.743727043408
"476",277.098226924566
"477",276.802232832383
"478",277.107781566083
"479",276.821426785253
"480",276.977587722662
"481",277.255292413293
"482",277.255292413293
"483",277.116334447149
"484",276.899363127354
"485",277.243390980459
"486",277.243390980459
"487",276.300096519681
"488",272.582758337535
"489",273.720654701911
"490",274.736764024178
"491",275.447006503576
"492",276.197903779892
"493",276.856005293684
"494",277.151285456431
"495",277.151285456431
"496",277.105425795667
"497",275.595240085916
"498",276.592334580582
"499",276.592334580582
"500",276.052661377078
"501",277.040536183253
"502",277.040536183253
"503",275.926421372737
"504",275.665419907106
"505",272.13367231971
"506",277.335365450348
"507",277.335365450348
"508",254.100803689126
"509",269.600120384659
"510",274.413095956639
"511",276.117838141059
"512",277.326169542106
"513",277.326169542106
"514",276.193116227282
"515",274.777731190607
"516",276.15713092603
"517",277.115708458085
"518",277.115708458085
"519",275.58927409474
"520",276.499201610325
"521",277.268104092407
"522",277.268104092407
"523",275.943605921997
"524",276.492657657105
"525",276.935681603172
"526",277.032577093471
"527",277.218174227747
"528",277.09588600192
"529",277.268351994441
"530",277.268351994441
"531",277.20729833554
"532",276.896469721473
"533",277.063742718005
"534",277.28465304794
"535",277.28465304794
"536",276.960739320981
"537",277.053276982369
"538",277.25885375296
"539",277.25885375296
"540",276.991552639866
"541",277.020289258475
"542",277.21391660854
"543",277.038843332509
"544",277.052630438779
"545",277.067449947506
"546",277.075918844027
"547",277.150544495794
"548",277.304140812188
"549",277.304140812188
"550",277.23540291807
"551",277.231919592423
"552",277.102660076212
"553",277.255956960222
"554",277.376522514328
"555",277.376522514328
"556",277.16634354075
"557",277.207361304748
"558",277.247614652452
"559",277.328794907418
"560",277.328794907418
"561",277.306092535204
"562",277.289247076332
"563",277.21760012856
"564",277.199720944633
"565",276.343198925962
"566",276.797488995895
"567",277.2069667526
"568",277.2069667526
"569",276.789853785324
"570",277.167204494842
"571",277.354820095703
"572",277.354820095703
"573",277.113235111957
"574",277.302992186076
"575",277.302992186076
"576",270.951463917422
"577",276.129269803095
"578",276.552202865712
"579",277.062472115611
"580",277.062472115611
"581",276.770469525074
"582",277.260486590651
"583",277.260486590651
"584",276.677747352916
"585",225.804367143466
"586",254.441162691708
"587",272.851509552644
"588",267.998391719888
"589",274.170903679404
"590",277.096771422757
"591",276.935966913654
"592",277.235070264147
"593",277.235070264147
"594",271.692258610985
"595",273.241387471456
"596",275.782528249188
"597",275.782528249188
"598",275.43873087722
"599",256.561025804015
"600",268.957171442278
"601",271.268377904533
"602",273.49768766782
"603",276.064961851373
"604",276.064961851373
"605",273.795907299838
"606",276.282321826142
"607",276.282321826142
"608",269.972734072525
"609",270.622937196322
"610",272.507704285327
"611",273.711963970303
"612",273.745461140682
"613",274.244978783493
"614",275.03119469754
"615",275.686154452925
"616",276.740534153761
"617",276.142122904219
"618",276.728054029072
"619",277.268010902358
"620",277.268010902358
"621",276.859846021727
"622",275.628457314781
"623",276.042481546917
"624",276.201021353282
"625",276.833937502036
"626",276.24459561958
"627",276.32679961006
"628",276.448484675941
"629",276.543663824511
"630",276.614251797224
"631",276.729336773774
"632",276.808911517032
"633",277.109719927917
"634",276.875452919636
"635",277.100994147853
"636",277.296249572269
"637",277.358011392644
"638",277.358011392644
"639",277.2724759504
"640",277.334559787892
"641",277.28958155517
"642",277.30240231703
"643",277.312384936752
"644",277.321805830483
"645",277.331403421359
"646",277.361209968588
"647",277.346020221629
"648",277.371137736059
"649",277.371137736059
"650",277.356602666596
"651",277.351675786592
"652",277.340890469658
"653",277.379933977529
"654",277.379933977529
"655",277.341779602832
"656",277.105673864035
"657",277.329330983453
"658",277.329330983453
