"","V1"
"1",173.662804431576
"2",256.6522133002
"3",204.969113203552
"4",218.218494440029
"5",255.294415418932
"6",274.382784338844
"7",274.382784338844
"8",232.992136343894
"9",242.816378817147
"10",256.308646462505
"11",265.734834771258
"12",267.65112938812
"13",268.355327947585
"14",269.571878245034
"15",274.080633485343
"16",274.080633485343
"17",270.991231054707
"18",275.032100027457
"19",273.026660326056
"20",275.247210903303
"21",273.628617900622
"22",275.506100387354
"23",274.861900177494
"24",276.245461466337
"25",275.762704854866
"26",276.323804682713
"27",276.323804682713
"28",269.213474729774
"29",271.695732408362
"30",273.243469236621
"31",275.422609851647
"32",274.967632104972
"33",276.401678163094
"34",276.179466081238
"35",276.553184500211
"36",276.553184500211
"37",275.022066910138
"38",274.230018586253
"39",270.283323382473
"40",274.958625397969
"41",274.958625397969
"42",263.789371498507
"43",270.155722797516
"44",275.742664502303
"45",274.941953973865
"46",275.646935771505
"47",276.365570174289
"48",276.365570174289
"49",275.424616640614
"50",275.860287170994
"51",276.48449096867
"52",276.346214282775
"53",276.629066759798
"54",276.629066759798
"55",275.783603479631
"56",276.416144128506
"57",276.416144128506
"58",264.655747976632
"59",272.505169879632
"60",270.611529102718
"61",275.680363631623
"62",275.007560343375
"63",276.207671499809
"64",276.207671499809
"65",247.092742724901
"66",257.927038253835
"67",269.347395573941
"68",272.385991928453
"69",274.988814613151
"70",272.810031673033
"71",274.253906879024
"72",276.101990882561
"73",276.101990882561
"74",273.362430265487
"75",274.605399206367
"76",276.119281667225
"77",275.593466149571
"78",276.295584911363
"79",275.913736585735
"80",276.411814650259
"81",276.411814650259
"82",274.547420976014
"83",276.073220551291
"84",275.490212866178
"85",276.249136287451
"86",275.983524394193
"87",276.519903651117
"88",276.519903651117
"89",272.481312847492
"90",275.060116194191
"91",273.112577810242
"92",275.286007716035
"93",275.286007716035
"94",267.171450595173
"95",273.447741788297
"96",269.805798243369
"97",272.096875980247
"98",275.114813118715
"99",275.114813118715
"100",271.871133093955
"101",274.952720046202
"102",274.952720046202
"103",261.631201034244
"104",274.373478112094
"105",274.373478112094
"106",239.815090439793
"107",248.787805137952
"108",269.522202617068
"109",259.004892898709
"110",264.751655063497
"111",266.972028586897
"112",267.829494379087
"113",269.460578446162
"114",271.594389115352
"115",273.575309179454
"116",275.645383837186
"117",274.782230679029
"118",276.054414453071
"119",275.508362711793
"120",275.951277688585
"121",276.184705613999
"122",276.260190768922
"123",276.529685322097
"124",276.297055602362
"125",276.537931238004
"126",276.537931238004
"127",276.502780768425
"128",276.458084824132
"129",275.871423918484
"130",276.385409462677
"131",276.385409462677
"132",273.364165082639
"133",275.484039836097
"134",274.280480193974
"135",274.93215706059
"136",275.515302473311
"137",276.049813246705
"138",276.424520722248
"139",276.599212949174
"140",276.695259347484
"141",276.659451645046
"142",276.724291977519
"143",276.724291977519
"144",276.664886540983
"145",276.524064547609
"146",276.307950970036
"147",275.314883947927
"148",275.51635861229
"149",275.641036944904
"150",276.245289312466
"151",275.747961316156
"152",276.257815622728
"153",276.71142526454
"154",276.71142526454
"155",275.875659242309
"156",275.988061889043
"157",276.414496521192
"158",276.129866441864
"159",276.219835726596
"160",276.294827068164
"161",276.565558818713
"162",276.565558818713
"163",276.499712817746
"164",276.360015309069
"165",276.6324081725
"166",276.6324081725
"167",276.3622139343
"168",276.081146120353
"169",276.640706309543
"170",276.640706309543
"171",275.828987649983
"172",276.490991515413
"173",276.490991515413
"174",275.406974824578
"175",276.433423625372
"176",276.433423625372
"177",270.750344977331
"178",272.623197438867
"179",275.468781586057
"180",274.128486843796
"181",274.53676829922
"182",275.587959053372
"183",276.575217503092
"184",276.575217503092
"185",275.808834034916
"186",275.689982131969
"187",273.59077022141
"188",275.675227299476
"189",276.234928008654
"190",276.667237376838
"191",276.667237376838
"192",276.335687679422
