"","V1"
"1",183.562721643578
"2",271.186624059678
"3",216.823154309485
"4",230.843814851801
"5",269.828316800723
"6",289.695131975119
"7",289.695131975119
"8",246.439976551829
"9",256.779664565299
"10",270.919650433244
"11",280.752524070899
"12",282.742813494787
"13",283.47305249675
"14",284.733453630863
"15",289.383788350053
"16",289.383788350053
"17",286.201007628537
"18",290.36328248258
"19",288.302462637618
"20",290.584333637347
"21",288.92238203548
"22",290.850158209684
"23",290.189938118164
"24",291.60790561765
"25",291.11397596658
"26",291.688062028993
"27",291.688062028993
"28",284.361987182469
"29",286.929329983193
"30",288.525765389045
"31",290.764457459664
"32",290.298241169563
"33",291.76771003466
"34",291.540554372165
"35",291.922586952658
"36",291.922586952658
"37",290.352968498871
"38",289.537750682839
"39",285.468523469406
"40",290.287743325224
"41",290.287743325224
"42",278.729781180655
"43",285.332082315977
"44",291.092843326399
"45",290.272347248261
"46",290.995344280391
"47",291.730782728818
"48",291.730782728818
"49",290.767535609637
"50",291.213851804195
"51",291.852378797821
"52",291.711078938827
"53",292.000115480749
"54",292.000115480749
"55",291.135347624449
"56",291.782502537107
"57",291.782502537107
"58",279.631105723032
"59",287.756594678907
"60",285.805007422897
"61",291.02895115606
"62",290.339596411004
"63",291.569231186478
"64",291.569231186478
"65",261.271697313049
"66",272.608905915488
"67",284.499259233343
"68",287.641966758009
"69",290.31878296156
"70",288.079219676764
"71",289.565124518248
"72",291.461043829505
"73",291.461043829505
"74",288.648320517055
"75",289.926564463572
"76",291.478748069657
"77",290.940582175895
"78",291.659192331511
"79",291.268626940869
"80",291.778075433333
"81",291.778075433333
"82",289.867038347076
"83",291.431582702492
"84",290.834762818976
"85",291.611666107641
"86",291.340029476894
"87",291.888575147671
"88",291.888575147671
"89",287.740266752352
"90",290.392081161888
"91",288.390983601105
"92",290.624184917628
"93",290.624184917628
"94",282.244847535922
"95",288.730842072184
"96",284.975274504763
"97",287.343487050916
"98",290.448298250061
"99",290.448298250061
"100",287.110582502036
"101",290.281671272885
"102",290.281671272885
"103",276.466978194845
"104",289.685546500173
"105",289.685546500173
"106",253.624960502419
"107",263.04678039998
"108",284.661823786168
"109",273.741180481651
"110",279.7302172614
"111",282.038069769722
"112",282.927727726084
"113",284.618152928283
"114",286.824565706935
"115",288.86736735153
"116",290.993071336596
"117",290.108348991343
"118",291.412323148798
"119",290.853353501144
"120",291.307047681304
"121",291.545926852078
"122",291.623132114864
"123",291.898572215076
"124",291.660830077062
"125",291.906999348461
"126",291.906999348461
"127",291.871074097313
"128",291.825384382295
"129",291.225307867308
"130",291.751072935936
"131",291.751072935936
"132",288.650058340832
"133",290.827516137815
"134",289.592892858014
"135",290.26232920892
"136",290.860453386923
"137",291.407888313463
"138",291.791126034383
"139",291.969633312172
"140",292.06772058858
"141",292.031157451947
"142",292.097365719278
"143",292.097365719278
"144",292.036702394051
"145",291.892827725531
"146",291.671843637457
"147",290.6550213148
"148",290.861575353504
"149",290.989342765196
"150",291.607729448979
"151",291.098876142006
"152",291.620604005813
"153",292.084228092087
"154",292.084228092087
"155",291.229649024726
"156",291.344716460929
"157",291.780817788215
"158",291.489824109698
"159",291.581860699101
"160",291.65854867703
"161",291.935231672438
"162",291.935231672438
"163",291.86793823993
"164",291.725189353053
"165",292.003528727517
"166",292.003528727517
"167",291.72735002594
"168",291.43986820949
"169",292.012005016566
"170",292.012005016566
"171",291.181784779461
"172",291.859023651032
"173",291.859023651032
"174",290.749220276707
"175",291.800170792209
"176",291.800170792209
"177",285.952753511506
"178",287.886135702374
"179",290.811854631272
"180",289.436652096565
"181",289.85631772078
"182",290.934614733305
"183",291.945100894145
"184",291.945100894145
"185",291.16068634828
"186",291.038816315017
"187",288.882031572558
"188",291.024352520967
"189",291.597228483604
"190",292.039103349956
"191",292.039103349956
"192",291.700217614377
"193",291.513102929949
"194",285.744197852621
"195",289.314773886453
"196",291.5189645575
"197",291.017692311468
"198",291.231807375755
"199",291.291359130483
"200",291.518550561873
"201",291.925619978033
"202",291.925619978033
"203",291.32669167345
"204",291.74811170479
"205",291.383302884568
"206",291.684577590645
"207",292.029535292018
"208",292.029535292018
"209",291.795934656336
"210",291.715396575932
"211",291.429577299035
"212",291.690004454573
"213",291.936795764713
"214",291.850665605225
"215",292.050779183085
"216",292.050779183085
"217",291.896558399644
"218",287.5055033538
"219",289.60781601209
"220",291.721867547831
"221",291.721867547831
"222",287.811731603459
"223",288.165826058165
"224",288.727519198244
"225",289.971457014085
"226",291.453447415261
"227",291.453447415261
"228",289.367418792053
"229",289.93334715243
"230",290.502326759477
"231",291.016135020023
"232",291.458536126592
"233",291.748322440913
"234",292.020044657064
"235",292.020044657064
"236",291.868127741431
"237",291.622479900956
"238",292.019742577824
"239",292.019742577824
"240",291.45815527916
"241",290.708168863822
"242",291.634729456873
"243",291.634729456873
"244",290.53655917121
"245",291.784339071119
"246",291.448771139123
"247",291.820849790259
"248",291.531627524212
"249",291.862140305806
"250",291.862140305806
"251",289.28699584766
"252",290.413106248315
"253",290.996767839537
"254",291.767105022279
"255",291.52484775817
"256",291.908585085652
"257",291.908585085652
"258",291.417253571636
"259",290.234713614331
"260",290.579647831231
"261",291.046814618337
"262",291.396787713415
"263",291.613281328148
"264",291.736214063088
"265",291.988398186203
"266",291.988398186203
"267",291.698348515327
"268",291.777021809694
"269",291.810428363646
"270",291.872096704346
"271",292.024358164411
"272",292.024358164411
"273",291.922531144707
"274",292.073232120802
"275",292.073232120802
"276",291.964587300317
"277",291.952397466261
"278",291.624911208606
"279",291.662552170951
"280",291.907375617937
"281",291.907375617937
"282",291.899839174225
"283",291.436143485199
"284",291.907486649764
"285",291.907486649764
"286",290.910639614992
"287",290.976748814088
"288",291.103834292445
"289",291.236174576498
"290",291.731374947558
"291",291.731374947558
"292",291.676552416154
"293",291.560026864068
"294",292.08817913142
"295",292.08817913142
"296",290.941656667065
"297",291.578800114898
"298",291.578800114898
"299",291.087198079875
"300",291.983013227972
"301",291.983013227972
"302",290.393615785223
"303",283.029218822764
"304",287.414926168425
"305",290.114968503182
"306",290.349945311321
"307",291.395389694609
"308",291.395389694609
"309",291.222949783455
"310",291.195381801383
"311",285.655078734365
"312",289.659761814908
"313",291.857775486398
"314",291.857775486398
"315",289.32176143836
"316",291.615959955103
"317",291.253789356143
"318",291.471911362627
"319",291.614972552819
"320",291.940853851152
"321",291.940853851152
"322",291.820346570921
"323",291.806575811118
"324",284.264160137265
"325",286.280255651658
"326",287.269127979735
"327",290.415152958265
"328",288.683070354113
"329",289.837684900066
"330",291.00171376182
"331",291.835890295598
"332",291.689186208127
"333",291.886869783131
"334",292.027952877629
"335",291.926834750365
"336",292.034548005695
"337",292.034548005695
"338",291.995466505995
"339",290.838419374565
"340",291.610042935219
"341",292.055742994534
"342",292.055742994534
"343",291.453144659951
"344",291.773476226317
"345",292.001092379773
"346",291.873869368822
"347",292.009716342902
"348",292.009716342902
"349",291.689733665233
"350",291.921100391398
"351",291.921100391398
"352",289.902675198242
"353",291.399613091951
"354",291.399613091951
"355",288.10146890819
"356",290.315257199943
"357",291.174496083046
"358",291.778199064715
"359",291.778199064715
"360",291.01323367553
"361",291.125713354559
"362",291.284401386932
"363",291.465008907273
"364",291.841740310897
"365",291.841740310897
"366",291.778523644331
"367",291.235455782356
"368",291.380706594586
"369",291.483885091327
"370",291.830458338992
"371",291.805539470369
"372",292.110017105005
"373",292.110017105005
"374",291.501287591387
"375",291.627161887499
"376",291.760019324225
"377",291.893520773193
"378",292.016679324238
"379",292.095186750967
"380",292.095186750967
