"","V1"
"1",191.792256586006
"2",283.236108850258
"3",226.719847892367
"4",241.384223839977
"5",281.896677665457
"6",302.330072895657
"7",302.330072895657
"8",257.656843194045
"9",268.411800646069
"10",283.056637814751
"11",293.192758229231
"12",295.235394728751
"13",295.983645304828
"14",297.273957644755
"15",302.013088882977
"16",302.013088882977
"17",298.773278588473
"18",303.009379437705
"19",300.917024518796
"20",303.233813161078
"21",301.547806610799
"22",303.50348525603
"23",302.834977890513
"24",304.270744129145
"25",303.771467055446
"26",304.351768336554
"27",304.351768336554
"28",296.8935264246
"29",299.517258878175
"30",301.144265349518
"31",303.416571135649
"32",302.944580204723
"33",304.432250181794
"34",304.202839184171
"35",304.588664809
"36",304.588664809
"37",302.998903713313
"38",302.169873754191
"39",298.024383302613
"40",302.93264778623
"41",302.93264778623
"42",291.11456957855
"43",297.880320606671
"44",303.749461057156
"45",302.918796045429
"46",303.651363300283
"47",304.394939849791
"48",304.394939849791
"49",303.42073569066
"50",303.872459989345
"51",304.517773507319
"52",304.375125016409
"53",304.66692025822
"54",304.66692025822
"55",303.793059133757
"56",304.447194372384
"57",304.447194372384
"58",292.041154835288
"59",300.352485196192
"60",298.365185077367
"61",303.684723811631
"62",302.986900684142
"63",304.231640915271
"64",304.231640915271
"65",273.075099415605
"66",284.799074737053
"67",297.032527661393
"68",300.244222139779
"69",302.964179640713
"70",300.689714791693
"71",302.200573469709
"72",304.122219954484
"73",304.122219954484
"74",301.269013749077
"75",302.567791160296
"76",304.140129467737
"77",303.595952048306
"78",304.322589363292
"79",303.927918965976
"80",304.442721976561
"81",304.442721976561
"82",302.507409000921
"83",304.092414324807
"84",303.488806326527
"85",304.274545964031
"86",304.000094005682
"87",304.554324976573
"88",304.554324976573
"89",300.344383661945
"90",303.038627906701
"91",301.007137608799
"92",303.274256862097
"93",303.274256862097
"94",294.724575927682
"95",301.347487512481
"96",297.520967883852
"97",299.939751359537
"98",303.095715232306
"99",303.095715232306
"100",299.702326264222
"101",302.92647908596
"102",302.92647908596
"103",288.769995007731
"104",302.320317780439
"105",302.320317780439
"106",265.134660143324
"107",274.912128281617
"108",297.179760624321
"109",285.974545158808
"110",292.142353132485
"111",294.512717478092
"112",295.424821642468
"113",297.155932043934
"114",299.410248336906
"115",301.491709271709
"116",303.648362682724
"117",302.752428396196
"118",304.072927604427
"119",303.507619541733
"120",303.966766669526
"121",304.208281775021
"122",304.286295276691
"123",304.564419032512
"124",304.324380805251
"125",304.57292755429
"126",304.57292755429
"127",304.536652996324
"128",304.490510247949
"129",303.88410316855
"130",304.415441283922
"131",304.415441283922
"132",301.270731797425
"133",303.480525161836
"134",302.229241060818
"135",302.908675443662
"136",303.514795762934
"137",304.068724107227
"138",304.45596538217
"139",304.636172022076
"140",304.735135200602
"141",304.698251117456
"142",304.765040552447
"143",304.765040552447
"144",304.703840019055
"145",304.558618869655
"146",304.335376657054
"147",303.306755224552
"148",303.515972374266
"149",303.645331550491
"150",304.270566022063
"151",303.756188339011
"152",304.283639608664
"153",304.751788150805
"154",304.751788150805
"155",303.888499324493
"156",304.004877278854
"157",304.445492398061
"158",304.151577454618
"159",304.244595088598
"160",304.322073391696
"161",304.601430071042
"162",304.601430071042
"163",304.53348635871
"164",304.389377932453
"165",304.670364835698
"166",304.670364835698
"167",304.391471226891
"168",304.100970214103
"169",304.678918682317
"170",304.678918682317
"171",303.840001644994
"172",304.524484015088
"173",304.524484015088
"174",303.401949626099
"175",304.46504248688
"176",304.46504248688
"177",298.520490698145
"178",300.492550901121
"179",303.464642604467
"180",302.070558609593
"181",302.496756804161
"182",303.589578276626
"183",304.611392842082
"184",304.611392842082
"185",303.818184345635
"186",303.694720460473
"187",301.505335546572
"188",303.680749074074
"189",304.260053772338
"190",304.706262586127
"191",304.706262586127
"192",304.364053029536
"193",304.174878880373
"194",298.306737177714
"195",301.945819124675
"196",304.180807325931
"197",303.674011429639
"198",303.890683835419
"199",303.95091841697
"200",304.180595836232
"201",304.591726818174
"202",304.591726818174
"203",303.986651519773
"204",304.412449342033
"205",304.043894516623
"206",304.3483364673
"207",304.696608235408
"208",304.696608235408
"209",304.460763359076
"210",304.379392279791
"211",304.090654670471
"212",304.353850606141
"213",304.603009020455
"214",304.516084937491
"215",304.718043105772
"216",304.718043105772
"217",304.56238571783
"218",300.105144927856
"219",302.243224521681
"220",304.385931269311
"221",304.385931269311
"222",300.41721521082
"223",300.777921890967
"224",301.349565937166
"225",302.613416579037
"226",304.114535059295
"227",304.114535059295
"228",302.000231419496
"229",302.574892653319
"230",303.152012212873
"231",303.672404229872
"232",304.119946179515
"233",304.412739230941
"234",304.687031558206
"235",304.687031558206
"236",304.533677721592
"237",304.285591101823
"238",304.686726733003
"239",304.686726733003
"240",304.119297787615
"241",303.360538280629
"242",304.297861528622
"243",304.297861528622
"244",303.186354123689
"245",304.449049668872
"246",304.110083169966
"247",304.485930161492
"248",304.193831010297
"249",304.52763139255
"250",304.52763139255
"251",301.91818889527
"252",303.061573969005
"253",303.652777851004
"254",304.43163894404
"255",304.186968078927
"256",304.574528568545
"257",304.574528568545
"258",304.077916328344
"259",302.880700448724
"260",303.230342886388
"261",303.70349355106
"262",304.057509032799
"263",304.276342828486
"264",304.400518681953
"265",304.655094974379
"266",304.655094974379
"267",304.362277422118
"268",304.441735773223
"269",304.475468098282
"270",304.537727154902
"271",304.691384227072
"272",304.691384227072
"273",304.588631381708
"274",304.740695446807
"275",304.740695446807
"276",304.631062577038
"277",304.61875827568
"278",304.28809271821
"279",304.326120480747
"280",304.573307449848
"281",304.573307449848
"282",304.565698249414
"283",304.09728855172
"284",304.573419551552
"285",304.573419551552
"286",303.565655777319
"287",303.632582269748
"288",303.761205720383
"289",303.89510013159
"290",304.395538260152
"291",304.395538260152
"292",304.340135868268
"293",304.222394104599
"294",304.755773799234
"295",304.755773799234
"296",303.597058297385
"297",304.241316539022
"298",304.241316539022
"299",303.744074977734
"300",304.649660161914
"301",304.649660161914
"302",303.040186422894
"303",295.528809596445
"304",300.010453111957
"305",302.759237492724
"306",302.997536514995
"307",304.055793149973
"308",304.055793149973
"309",303.881239933149
"310",303.853323086797
"311",298.215853844106
"312",302.295519451239
"313",304.523223533762
"314",304.523223533762
"315",301.952607975579
"316",304.278886944754
"317",303.912898193491
"318",304.133475299075
"319",304.278042941147
"320",304.607105599306
"321",304.607105599306
"322",304.485421887589
"323",304.47151235199
"324",296.79299158068
"325",298.855042053839
"326",299.863935987165
"327",303.062058103349
"328",301.304332089068
"329",302.477707868241
"330",303.657717580142
"331",304.501121196632
"332",304.353009504465
