original.name	chr2n
Carex_bequaertii_ssp_bequaertii|KEN|spm00000176	58
Carex_nardina|QUE|spm00001510	68.66666667
Carex_salina|QUE|spm00001953	78.66666667
Carex_breviculmis_var_breviculmis|NZ|NCBI_AUTHOR_Gardner_314	64.33333333
Carex_dacica|ICE|spm00003155	80.92307692
Carex_lenta|KOR|NCBI_Jung_2368	84
Carex_litorosa|NZ|NCBI_AUTHOR_Gardner_288	48
Carex_longifructus||spm00004426	88
Carex_multicostata|CAL|spm00001093	70
Carex_macloviana||spm00002163	85.3
Carex_fracta|CAL|spm00000896	70
Carex_libera|NZ|NCBI_AUTHOR_Gardner_329	60
Carex_capensis|CPP|spm00003263	36
Carex_sociata|JAP|spm00006686	44
Carex_conferta|ETH|spm00000184	52
Carex_dispalata|JAP|NCBI_Waterway_3652	80
Carex_healyi|NZN|spm00005107	88
Carex_dimorpholepis|KOR|NCBI_Na_2916	69
Carex_caucasica|NCS|spm00008001	53
Carex_phacota|KOR|spm00000344	75
Carex_cirrhosa|NZ|NCBI_AUTHOR_Gardner_318	68
Carex_ischnostachya|CHS|spm00000062	59.75
Carex_cinerascens|CHM|spm00004514	66
Carex_leporina|WIS|spm00001780	65.09090909
Carex_integra|CAL|spm00000977	82
Carex_doniana|CHS|spm00000047	56.5
Carex_pauciflora|ASK|spm00001142	71.75
Carex_hirtissima|CAL|spm00001694	71
Carex_trachycarpa||spm00002713	67
Carex_athrostachya|CAL|spm00000727	68
Carex_pumila|NCA|spm00002067	81.5
Carex_recta||NCBI_Dean_SM00017	74.5
Carex_stipata_var_stipata|MAN|spm00001253	51
Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316	51
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283	58
Carex_nubigena|CHC|spm00003362	103.3333333
Carex_parvispica||spm00004427	95
Carex_austrocompacta|TDC|spm00005930	88
Carex_maackii|JAP|spm00002491	67
Carex_lenticularis||NCBI_Dragon_1281	74.66666667
Carex_mendocinensis|ORE|spm00001673	58
Carex_saxatilis|UTA|spm00001223	74.70588235
Carex_infirminervia|CAL|spm00001398	46
Carex_donnellsmithii||NCBI_Ton_3535	10
Carex_umbricola||spm00005220	88
Carex_leptalea|MIC|spm00001032	51.6
Carex_scopulorum_var_prionophylla|WAS|spm00004556	76
Carex_praticola|COL|spm00001163	75.57142857
Carex_erythrovaginata|NZ|spm00005096	88
Carex_boottiana|JAP|NCBI_Waterway_3657	62
Carex_maorica|NZ|NCBI_AUTHOR_Gardner_289	74
Carex_kaloides|NZ|NCBI_AUTHOR_Gardner_321	81
Carex_utriculata|ASK|spm00001379	79.5
Carex_microptera|COL|spm00001880	81.38461538
Carex_alopecuroides|KOR|spm00000321	56.5
Carex_baccans||spm00007862	55
Carex_forsteri|NZS|spm00002183	60
Carex_obtusifolia||spm00004428	88
Carex_echinata_ssp_echinata|ASK|spm00001633	56.58823529
Carex_gaudichaudiana||NCBI_Ford_1659	72
Carex_kobomugi|VRG|spm00000979	86
Carex_penalpina|NZS|NCBI_AUTHOR_Gardner_335	88
Carex_subbracteata|CAL|spm00001955	80
Carex_lancea|CPP|spm00003764	88
Carex_arctiformis|BRC|spm00001851	56
Carex_subviridis||spm00004429	88
Carex_raynoldsii|CAL|spm00001184	58
Carex_insaniae_var_papillaticulmis|JAP|NCBI_Waterway_3659	55
Carex_tenuiculmis|NZS|NCBI_AK_311164	66.75
Carex_gynodynama|CAL|spm00001688	51
Carex_brachyanthera|NWG|spm00007129	58
Carex_livida|NWJ|spm00001410	38.33333333
Carex_cruciata|CHC|spm00005699	42
Carex_colensoi|NZ|NCBI_AUTHOR_Gardner_328	62
Carex_berggrenii|NZ|NCBI_AUTHOR_Gardner_327	60
Carex_edura|NZS|spm00002184	88
Carex_abrupta|CAL|spm00002224	76
Carex_subfusca|CAL|spm00001868	83.5
Carex_astricta||spm00004420	88
Carex_testacea|NZ|NCBI_AUTHOR_Gardner_291	52
Carex_breviscapa|VIE|spm00007865	52
Carex_fulvorubescens|JAP|spm00006431	33
Carex_corynoidea|NZ|spm00005087	88
Carex_hoodii|CAL|spm00001930	59.5
Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315	61
Carex_zotovii||spm00004411	88
Carex_dallii|NZ|NCBI_AUTHOR_Gardner_310	42
Carex_angustata|CAL|spm00000713	68
Carex_macrochaeta|ORE|spm00001671	60
Carex_horizontalis|NZS|spm00005106	88
Carex_interrupta|ORE|spm00001666	66
Carex_leporinella|WAS|spm00001613	82
Carex_micropoda|ASK|spm00001632	66
Carex_harfordii|CAL|spm00000965	80
Carex_megalepis|NZ|spm00005089	88
Carex_zikae|WAS|spm00001573	28
Carex_uncinata|NZN|spm00005112	88
Carex_gmelinii|ASK|spm00001629	58.4
Carex_kirkii||spm00004417	69
Carex_lyngbyei|ORE|spm00001085	72.2
Carex_cretica|KRI|spm00004382	58
Carex_secta|NZ|NCBI_Waterway_3650	69.5
Carex_pyrenaica|SPA|spm00000582	70
Carex_rossii|CAL|spm00001201	36
Carex_phaeocephala|NEV|spm00001193	84
Carex_macrandrolepis|KOR|spm00000337	74
Carex_punicea|NZS|spm00005105	88
Carex_minor||spm00004412	88
Carex_anthoxanthea|WAS|spm00001568	55
Carex_imbecilla||spm00004419	88
Carex_nudata|CAL|spm00001440	71
Carex_silvestris||spm00004421	88
Carex_arcta|ASK|spm00000710	60
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338	74
Carex_filicina|VIE|spm00007873	45.14285714
Carex_comans|NZ|NCBI_AUTHOR_Gardner_309	40
Carex_simensis|UGA|spm00000233	70
Carex_cusickii|BRC|spm00002004	63
Carex_pluriflora|ASK|spm00001956	50.66666667
Carex_bolanderi|CAL|spm00001414	54
Carex_stylosa|NFL|spm00001490	52
Carex_obnupta|CAL|spm00001105	71.6
Carex_pachystachya|ASK|spm00001864	78.69230769
Carex_aperta|BRC|spm00001842	54
Carex_flaviformis|NZ|spm00007227	64
Carex_nigricans|ASK|spm00001638	72
Carex_pichinchensis|ECU|spm00000538	83
Carex_aquatilis_var_dives||NCBI_Janeway_2155	76.5
Carex_leptopoda|BRC|spm00001399	54
Carex_laeviculmis|CAL|spm00001397	56
Carex_scopulorum_var_bracteosa|YUK|spm00006477	76
Carex_pansa|CAL|spm00001964	58
Carex_illota|CAL|spm00000961	64
Carex_preslii|ORE|spm00001174	79.5
Carex_phleoides_ssp_phleoides|CLC|spm00005103	96
Carex_fuscula|CLC|spm00004370	66
Carex_spectabilis|BRC|spm00001979	74
Carex_potens||spm00004430	88
Carex_mertensii|ASK|spm00001056	62
Carex_myosurus|VIE|spm00007888	44
Carex_macrocephala|ASK|spm00001434	76
Carex_petitiana_ssp_petitiana|KEN|spm00002867	70.66666667
Carex_crispa||spm00004422	88
Carex_egmontiana||spm00004416	88
Carex_appressa_var_appressa|NSW|spm00002189	61
Carex_badilloi|NAT|spm00003223	35
Carex_brysonii|ALA|spm00000655	50
Carex_cilicica_ssp_muratica|TUR|spm00005685	54
Carex_densifimbriata|CH|NCBI_Liuo_2556	12
Carex_derelicta|CZE|spm00003351	70
Carex_dolomitica|NZ|NCBI_AUTHOR_Gardner_282	72
Carex_echinochloe_ssp_echinohloe|KEN|spm00000186	42
Carex_fischeri_ssp_fischeri|ETH|spm00004352	70
Carex_fissirostris|MOR|spm00004379	72
Carex_glossostigma|CHS|spm00007875	24
Carex_grandiligulata|CHS|spm00000056	18
Carex_idaea|KRI|spm00004380	74
Carex_inopinata|NZ|NCBI_AUTHOR_Gardner_285	64
Carex_kumaonensis|EHM|spm00005764	50
Carex_kurdica|GRC|spm00003147	74
Carex_kwangsiensis|CH|NCBI_Liuo_2555	12
Carex_lingii|CH|NCBI_Yang_3761	12
Carex_longshengensis|CH|NCBI_Yu_3779	12
Carex_mannii_ssp_mannii|GGI|spm00002860	70
Carex_nodaeana|CHM|spm00003470	70
Carex_ophiolithica|NZ|NCBI_AUTHOR_Gardner_331	63
Carex_orbicularis_ssp_orbicularis|NEP|spm00003063	86
Carex_otomana|IRN|spm00004583	55
Carex_parvirufa|NAT|spm00003224	36
Carex_pediformis_ssp_macroura|FIN|spm00003598	51.66666667
Carex_petitiana_ssp_attenuata|MLW|spm00004345	70
Carex_pseudorufa|NAT|spm00003204	64
Carex_radfordii|SCA|spm00001438	46
Carex_riloensis|BUL|spm00003599	26
Carex_roraimensis||NCBI_Reznicek_3159	124
Carex_schimperiana|NAT|spm00007800	30
Carex_subcapitata|CH|NCBI_Jin_2301	12
Carex_supina_var_supina|TCS|spm00006391	38
Carex_tricolor|BUL|spm00003600	61.66666667
Carex_tsushimensis|KOR|spm00000353	32
Carex_tumidula|JAP|NCBI_Seki_3378	12
Carex_uncifolia|NZ|NCBI_AUTHOR_Gardner_303	60
Carex_wahuensis_ssp_robusta||NCBI_Amano_SM00027	48
