original.name	chr2n
Carex_cespitosa_ssp_cespitosa|NOR|spm00003210	75.55555556
Carex_bohemica|FIN|spm00002276	80
Carex_loliacea|ASK|spm00001650	54
Carex_capricornis||NCBI_AUTHOR_Shekhovtsov_642	70
Carex_ciliatomarginata|CH|NCBI_Jin_2300	12
Carex_nemurensis|SAK|spm00006074	52
Carex_neurocarpa|PRM|spm00006483	108
Carex_esenbeckii|EHM|spm00005193	66
Carex_hormathodes|NSC|spm00002114	74
Carex_muskingumensis|MIC|spm00001115	80
Carex_ebenea|ARI|spm00001870	84
Carex_melanostachya||spm00001550	65
Carex_godfreyi|ALA|spm00001787	50
Carex_appalachica|MAS|spm00000721	52
Carex_filifolia_var_filifolia|CAL|spm00001432	50
Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215	67.125
Carex_fusiformis|EHM|spm00005727	44
Carex_nigra_ssp_intricata|SPA|spm00003775	86
Carex_spicata_ssp_spicata|BUL|spm00001272	57.83333333
Carex_lupuliformis|FLA|spm00001011	60
Carex_deasyi|EHM|spm00005198	32
Carex_microcarpa|COR|spm00007912	60
Carex_scaposa|CHC|spm00007891	24
Carex_lachenalii_ssp_lachenalii|ASK|spm00001640	61.66666667
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653	22
Carex_depauperata|YUG|spm00000574	50
Carex_lepidocarpa_ssp_nevadensis|SPA|NCBI_Modesto_2872	65.09090909
Carex_pisiformis_var_pisiformis|CHS|spm00000095	72.28
Carex_hordeistichos|SPA|spm00000579	56.75
Carex_microchaeta|YUK|spm00001946	62
Carex_secalina|HUN|spm00004542	50
Carex_mira|KOR|NCBI_Jung_2372	42
Carex_heleonastes|ABT|spm00001954	57.6
Carex_careyana|KTY|spm00001401	68
Carex_strigosa|AUT|spm00003302	66
Carex_vulpina|GER|NCBI_HMH_2086	64.44444444
Carex_shinnersii|TEN|spm00001225	60.33333333
Carex_mucronata|ITA|spm00000534	35.33333333
Carex_aterrima_ssp_aterrima|CZE|spm00007989	53
Carex_richardsonii|MRY|spm00001220	52
Carex_haydeniana|UTA|spm00002432	82
Carex_albicans_var_emmonsii|DEL|spm00000699	40
Carex_molestiformis|ARK|spm00001073	71.71428571
Carex_brizoides|GER|spm00005239	58
Carex_conjuncta|DEL|spm00000784	47.5
Carex_davyi|CAL|spm00001459	74
Carex_sordida|CHM|spm00004515	86
Carex_erebus||spm00004424	88
Carex_hitchcockiana|KTY|spm00000657	54
Carex_elongata|RUC|spm00005949	56.8
Carex_stenophylla|HUN|spm00002178	60.4
