original.name;LI.length.mp
Carex_communis_var_communis|QUE|NCBI_Waterway_3720;7.5
Carex_comosa|CAL|spm00000826;27.5
Carex_concinna|MAN|NCBI_Kuzmina_2468;6
Carex_conferta|ETH|spm00000184;32.5
Carex_conjuncta|DEL|spm00000784;50
Carex_conoidea|DEL|spm00001428;17
Carex_coriophora|CHQ|spm00005694;30
Carex_corrugata|ALA|spm00000670;17.5
Carex_corynoidea|NZ|spm00005087;0
Carex_crawei|NFL|spm00001471;16
Carex_crawfordii|ILL|spm00002161;9
Carex_crebriflora||spm00001043;15
Carex_cretica|KRI|spm00004382;11
Carex_crinita_var_crinita|MAI|spm00000801;75
Carex_crispa||spm00004422;0
Carex_cristatella|KTY|spm00000800;6
Carex_cruciata|CHC|spm00005699;8.5
Carex_cruenta|CHQ|spm00005700;22.5
Carex_cryptolepis|ILL|spm00001730;14.2
Carex_cumberlandensis|ARK|spm00000817;11.15
Carex_cumulata|ILL|spm00000871;9
Carex_curaica|KRA|spm00002337;6
Carex_curatorum||spm00002016;30
Carex_curvicollis|JAP|spm00006868;27.5
Carex_cusickii|BRC|spm00002004;55
Carex_cyanea|NZ|spm00005097;0
Carex_dacica|ICE|spm00003155;15
Carex_dallii|NZ|NCBI_AUTHOR_Gardner_310;10
Carex_davalliana|FIN|spm00003596;20
Carex_davyi|CAL|spm00001459;18
Carex_debilis|OKL|spm00000863;52.5
Carex_decomposita|DEL|spm00000836;110
Carex_deflexa_var_deflexa|BRC|spm00002125;8
Carex_demissa_ssp_demissa|NSC|spm00001948;10.75
Carex_densifimbriata|CH|NCBI_Liuo_2556;7.5
Carex_depauperata|YUG|spm00000574;15
Carex_depressa_ssp_basilaris|SPA|spm00000547;14.5
Carex_depressa_ssp_depressa|SPA|spm00000550;14.5
Carex_depressa_ssp_transsilvanica|YUG|spm00000546;15
Carex_derelicta|CZE|spm00003351;7
Carex_deweyana_var_deweyana|MAN|spm00001039;8.1
Carex_diandra|CAL|spm00000840;35
Carex_digitalis|NWY|NCBI_Waterway_3702;19
Carex_digitata|ITA|spm00000569;17.5
Carex_diluta|TCS|spm00004364;14
Carex_dimorpholepis|KOR|NCBI_Na_2916;50
Carex_dioica|SWE|spm00004523;10
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338;22.5
Carex_disperma|ASK|spm00001652;4
Carex_dissitiflora|JAP|spm00007871;30
Carex_distachya|SPA|spm00000588;19
Carex_distans|GRC|spm00000844;19.5
Carex_disticha|ONT|spm00005395;10
Carex_divisa|MRY|spm00002064;9
Carex_divulsa|NET|spm00004392;6
Carex_doniana|CHS|spm00000047;50
Carex_donnellsmithii||NCBI_Ton_3535;70
Carex_drucei||spm00004418;0
Carex_drymophila|JAP|NCBI_Waterway_3672;40
Carex_durieui|SPA|spm00004386;9.5
Carex_duriuscula|ASK|spm00001653;50
Carex_ebenea|ARI|spm00001870;12
Carex_eburnea|MIC|spm00000842;5
Carex_echinata_ssp_echinata|ASK|spm00001633;9.25
Carex_echinodes|WIS|spm00002699;9.75
Carex_ecklonii|CPP|spm00004378;15
Carex_edura|NZS|spm00002184;0
Carex_edwardsiana|TEX|spm00002142;13
Carex_egmontiana||spm00004416;0
Carex_elata_ssp_elata|SPA|spm00003134;42.5
Carex_eleusinoides|ASK|spm00001623;26
Carex_elingamita|NZ|NCBI_AUTHOR_Gardner_320;70
Carex_elongata|RUC|spm00005949;10
Carex_emoryi|DEL|spm00000885;62.5
Carex_ensifolia|CHQ|spm00005713;14
Carex_erebus||spm00004424;0
Carex_ericetorum|ITA|spm00000551;10.5
Carex_erythrovaginata|NZ|spm00005096;0
Carex_exilis|DEL|spm00000887;0
Carex_extensa|VRG|spm00001853;10
Carex_fedia|PAK|spm00005718;16.5
Carex_ferruginea|SWI|spm00000531;20
Carex_festucacea|TEX|spm00000892;11
Carex_feta|CAL|spm00000893;14.5
Carex_filicina|VIE|spm00007873;10
Carex_filifolia_var_filifolia|CAL|spm00001432;0
Carex_filipes|JAP|NCBI_Waterway_3666;17.5
Carex_fimbriata|SWI|spm00000552;17.5
Carex_firma|ITA|spm00000520;7.5
Carex_fischeri_ssp_fischeri|ETH|spm00004352;55
Carex_fissirostris|MOR|spm00004379;13
Carex_flacca_ssp_erythrostachys|BAL|spm00000524;21
Carex_flacca_ssp_flacca|GRB|NCBI_Hill_1959;21
Carex_flaccosperma|LOU|spm00000671;26
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283;22.5
Carex_flava|NFL|spm00001483;15
Carex_flaviformis|NZ|spm00007227;10.5
Carex_foenea|BRC|spm00002000;16
Carex_foliosissima|JAP|NCBI_Waterway_3660;30
Carex_folliculata|DEL|spm00000911;22.5
Carex_forficula|KOR|NCBI_Na_2984;32.5
Carex_formosa|ILL|spm00001732;20
Carex_fracta|CAL|spm00000896;14
Carex_frankii|ALA|spm00000939;31
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326;17.5
Carex_frigida|SPA|spm00000521;25
Carex_fritschii|HUN|spm00002174;8.5
Carex_fuliginosa_ssp_misandra|ASK|spm00001627;15
Carex_fulvorubescens|JAP|spm00006431;55
Carex_furva|SPA|spm00006018;4.55
Carex_fuscula|CLC|spm00004370;11
Carex_fusiformis|EHM|spm00005727;40
Carex_garberi|ASK|spm00001624;11
Carex_gaudichaudiana||NCBI_Ford_1659;10
Carex_gholsonii|ALA|spm00000953;17.5
Carex_gibba|CHH|spm00005244;8.5
Carex_gifuensis|KOR|spm00000331;7.5
Carex_glacialis|NFL|spm00001488;6
Carex_glareosa_ssp_glareosa|MAN|spm00001756;8.5
Carex_glaucodea|INI|spm00001525;20.5
Carex_glomerabilis|CPP|spm00000194;10
Carex_glossostigma|CHS|spm00007875;25
Carex_gmelinii|ASK|spm00001629;20
Carex_godfreyi|ALA|spm00001787;15.5
Carex_gracilescens|KTY|spm00000927;16
Carex_gracilior|CAL|spm00001692;10.5
Carex_gracillima|ALA|spm00000922;40
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651;12.5
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653;0
Carex_grandiligulata|CHS|spm00000056;15
Carex_granularis|MAN|spm00001407;16.5
Carex_gravida|TEN|spm00000970;30
Carex_grayi|TEN|spm00000924;33.5
Carex_grioletii|SPA|spm00000585;10
Carex_grisea|KTY|spm00000656;18
Carex_gynandra|DEL|spm00000964;64
Carex_gynocrates|ASK|spm00001630;9.5
Carex_gynodynama|CAL|spm00001688;26
Carex_halleriana|SPA|spm00000557;9
Carex_hallii|MAN|spm00001754;12.5
Carex_hamlinii|NZS|NCBI_AUTHOR_Gardner_333;0
Carex_harfordii|CAL|spm00000965;6.85
Carex_hartmanii|GER|spm00008007;25
Carex_haydeniana|UTA|spm00002432;8.25
Carex_haydenii|WIS|spm00002433;30
Carex_healyi|NZN|spm00005107;0
Carex_hebecarpa|EHM|spm00005738;27.5
Carex_heleonastes|ABT|spm00001954;5.5
Carex_helodes|POR|NCBI_Jose_2346;16.5
Carex_heterolepis|KOR|NCBI_Jung_2360;27.5
Carex_hirsutella|DEL|spm00000935;13
Carex_hirta|PEN|spm00000947;27.5
Carex_hirtifolia|QUE|spm00001475;11
Carex_hirtissima|CAL|spm00001694;17.5
Carex_hispida|KRI|spm00000549;80
Carex_hitchcockiana|KTY|spm00000657;17.5
Carex_hochstetteriana|AZO|NCBI_UPOS_3551;45
Carex_holostoma|ASK|spm00001631;5.5
Carex_hordeistichos|SPA|spm00000579;30
Carex_horizontalis|NZS|spm00005106;0
Carex_hormathodes|NSC|spm00002114;10.5
Carex_hostiana|GER|spm00003273;15
Carex_houghtoniana|MAN|spm00001446;25
Carex_humilis|GER|NCBI_WM_3755;7.5
Carex_hyalina|MSI|spm00000912;12
Carex_hystericina|ARK|spm00001081;27.5
Carex_illota|CAL|spm00000961;5.5
Carex_imbecilla||spm00004419;0
Carex_impressinervia|MSI|spm00001784;27
Carex_inanis|EHM|spm00005746;16.5
Carex_infirminervia|CAL|spm00001398;13.85
Carex_infuscata|WHM|spm00008013;6
Carex_insaniae_var_insaniae|JAP|spm00005753;13
Carex_insaniae_var_papillaticulmis|JAP|NCBI_Waterway_3659;15
Carex_integra|CAL|spm00000977;8
Carex_interior|MIC|spm00000972;6.25
Carex_interrupta|ORE|spm00001666;65
Carex_intumescens|MAI|spm00000975;18.5
Carex_inversa|NZ|NCBI_AUTHOR_Gardner_286;60
Carex_ischnostachya|CHS|spm00000062;40
Carex_jackiana_ssp_parciflora|JAP|NCBI_Waterway_3674;22.5
Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622;20
Carex_jaluensis|KOR|NCBI_Jung_2361;37.5
Carex_jamesii|ALA|spm00000630;0
Carex_kermadecensis|NZ|NCBI_AUTHOR_Gardner_287;37.5
Carex_killickii|NAT|spm00007793;12.5
Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584;70
Carex_kitaibeliana|YUG|spm00000539;9.5
Carex_kobomugi|VRG|spm00000979;5
Carex_krausei|ASK|spm00001639;10
Carex_kumaonensis|EHM|spm00005764;15
Carex_kurdica|GRC|spm00003147;46
Carex_kwangsiensis|CH|NCBI_Liuo_2555;12.5
Carex_lachenalii_ssp_lachenalii|ASK|spm00001640;42
Carex_lacustris|MAN|spm00000991;65
Carex_laeviconica|TEN|spm00001887;50
Carex_laeviculmis|CAL|spm00001397;7.65
Carex_laevigata|SPA|spm00002938;40
Carex_lainzii|SPA|spm00004371;9.5
Carex_lanceolata|CHM|spm00006393;13.5
Carex_lapponica|ASK|spm00001641;5
Carex_lasiocarpa_var_lasiocarpa|SPA|spm00000576;22.5
Carex_latebracteata|ARK|spm00001383;0
Carex_laticeps|JAP|NCBI_Waterway_3656;22.5
Carex_laxa|ASK|spm00001643;10.5
Carex_laxiculmis_var_laxiculmis|PEN|spm00001403;13
Carex_laxiflora|MIC|spm00001023;21
Carex_leavenworthii|KTY|spm00005410;13.5
Carex_ledebouriana|MAG|spm00003592;8.5
Carex_leersii|NET|spm00004394;6
Carex_leiorhyncha|KOR|spm00002471;8.5
Carex_lenticularis||NCBI_Dragon_1281;36
Carex_lepidocarpa_ssp_jemtlandica|NOR|spm00003056;9.5
Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215;9.5
Carex_lepidocarpa_ssp_nevadensis|SPA|NCBI_Modesto_2872;7
Carex_leporina|WIS|spm00001780;11.5
Carex_leporinella|WAS|spm00001613;8
Carex_leptalea|MIC|spm00001032;0
Carex_leptonervia|MAN|spm00001394;15.5
Carex_leptopoda|BRC|spm00001399;11.5
Carex_libera|NZ|NCBI_AUTHOR_Gardner_329;7.5
Carex_limosa|ASK|spm00001035;13
Carex_lingii|CH|NCBI_Yang_3761;7
Carex_liparocarpos_ssp_liparocarpos|SPA|spm00000556;10
Carex_lithophila|KOR|spm00000328;6.5
Carex_litorosa|NZ|NCBI_AUTHOR_Gardner_288;15
Carex_livida|NWJ|spm00001410;16
Carex_loliacea|ASK|spm00001650;4
Carex_longicruris|EHM|spm00005770;16
Carex_longifructus||spm00004426;0
Carex_longii|ARK|spm00001001;9.5
Carex_lowei|MDR|spm00002858;85
Carex_lucennoiberica|SPA|spm00006015;4.6
Carex_lucorum|NCA|spm00001736;12.5
Carex_lupuliformis|FLA|spm00001011;50
Carex_lupulina|MRY|spm00001078;40
Carex_lurida|FLA|spm00001082;42.5
Carex_lyngbyei|ORE|spm00001085;34
Carex_maackii|JAP|spm00002491;7.5
Carex_mackenziei|ASK|spm00001657;10
Carex_macloviana||spm00002163;8
Carex_macrandrolepis|KOR|spm00000337;12.5
Carex_macrochaeta|ORE|spm00001671;20
Carex_macrolepis|ITA|spm00000536;17.5
Carex_magellanica_ssp_irrigua|ASK|spm00001637;14
Carex_magellanica_ssp_magellanica|CLS|spm00003206;14
Carex_mairei|SPA|spm00004367;11.5
Carex_makinoensis|JAP|spm00006665;50
Carex_manhartii|GEO|spm00001761;21.5
Carex_mannii_ssp_friesiorum|KEN|spm00004355;32.5
Carex_mannii_ssp_mannii|GGI|spm00002860;40
Carex_maorica|NZ|NCBI_AUTHOR_Gardner_289;45
Carex_marina_ssp_marina|MAN|spm00001746;4.5
Carex_mariposana|ARI|spm00001884;10.25
Carex_maritima|YUK|spm00002500;4.5
Carex_meadii|MAN|spm00001742;21.5
Carex_media|NBR|spm00001772;8.5
Carex_megalepis|NZ|spm00005089;0
Carex_melanantha|KGZ|spm00008019;15
Carex_melanocarpa|KHA|spm00003594;8
Carex_melanocephala|ALT|spm00008022;7.5
Carex_melanostachya||spm00001550;20
Carex_membranacea|ASK|spm00001050;20
