original.name;LI.length.mp
Carex_silvestris||spm00004421;0
Carex_simensis|UGA|spm00000233;40
Carex_simpliciuscula|CHT|spm00003402;7
Carex_simulata|CAL|spm00001284;20
Carex_sociata|JAP|spm00006686;27.5
Carex_songorica|TZK|spm00003384;30
Carex_sordida|CHM|spm00004515;20
Carex_sparganioides|DEL|spm00001289;90
Carex_speciosa_ssp_speciosa|EHM|spm00005853;25
Carex_spectabilis|BRC|spm00001979;14
Carex_spicata_ssp_spicata|BUL|spm00001272;7.5
Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323;50
Carex_sprengelii|NBR|spm00001766;22.5
Carex_squarrosa|ARK|spm00001281;23
Carex_stenantha_var_taisetsuensis|SAK|spm00006798;11
Carex_stenocarpa|CHC|spm00003385;13
Carex_stenophylla|HUN|spm00002178;6.5
Carex_stenostachys|JAP|spm00006689;20
Carex_straminea|DEL|spm00001252;11.5
Carex_striatula|DEL|spm00001264;42
Carex_stricta|TEX|spm00001296;62
Carex_strictissima|NZS|spm00004413;0
Carex_strigosa|AUT|spm00003302;60
Carex_styloflexa|GEO|spm00001299;7.5
Carex_stylosa|NFL|spm00001490;13.5
Carex_subbracteata|CAL|spm00001955;9.15
Carex_subcapitata|CH|NCBI_Jin_2301;6
Carex_suberecta|ARK|spm00001559;9.5
Carex_subfusca|CAL|spm00001868;8
Carex_subspathacea||NCBI_Reznicek_3165;9.5
Carex_subtilis||spm00004415;0
Carex_subviridis||spm00004429;0
Carex_supina_var_spaniocarpa|ASK|spm00001794;10
Carex_supina_var_supina|TCS|spm00006391;6.5
Carex_swanii|ARK|spm00001304;10
Carex_sychnocephala|ONT|spm00001900;13
Carex_sylvatica|WAS|spm00001590;37.5
Carex_tenera|MAN|spm00001750;7
Carex_tenuiflora|MAN|spm00001313;6.5
Carex_testacea|NZ|NCBI_AUTHOR_Gardner_291;1.5
Carex_tetanica|MAN|spm00001314;23
Carex_tetrastachya|TEX|spm00001269;14.5
Carex_thornei|FLA|spm00000659;13
Carex_thunbergii||NCBI_Semsrott_3381;25
Carex_tincta|MAI|spm00001342;7.5
Carex_tomentosa|SPA|spm00000568;10
Carex_tonsa||spm00001317;7
Carex_torreyi|COL|spm00001708;9
Carex_torta||NCBI_Dragon_1288;57.5
Carex_traiziscana|JAP|spm00006095;6.5
Carex_tribuloides_var_sangamonensis|MSI|spm00002714;9
Carex_tribuloides_var_tribuloides|SCA|spm00001323;9
Carex_tricolor|BUL|spm00003600;6.5
Carex_trifida|NZ|NCBI_AUTHOR_Gardner_292;72.5
Carex_trinervis|SPA|spm00003778;25
Carex_trisperma_var_trisperma|GNL|spm00006097;5
Carex_tristachya_var_pocilliformis|KOR|spm00000352;15
Carex_tristachya_var_tristachya|CHS|spm00000132;17.5
Carex_tristis|IRN|spm00000599;14
Carex_troodi|CYP|spm00004356;11.5
Carex_tsushimensis|KOR|spm00000353;35
Carex_tumidula|JAP|NCBI_Seki_3378;35
Carex_typhina|LOU|spm00001330;26.5
Carex_uhligii|NAT|spm00003194;13
Carex_umbellata|DEL|spm00001376;7
Carex_umbricola||spm00005220;0
Carex_umbrosa_ssp_huetiana|TCS|spm00003480;8.5
Carex_umbrosa_ssp_sabynensis||NCBI_Murray_2912;6.5
Carex_uncifolia|NZ|NCBI_AUTHOR_Gardner_303;5
Carex_uncinata|NZN|spm00005112;0
Carex_ursina|YUK|spm00001975;0
Carex_ussuriensis|CHS|spm00000533;7.5
Carex_utriculata|ASK|spm00001379;60
Carex_vaginata|YUK|spm00001974;19
Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312;57.5
Carex_vesicaria|DEL|spm00001360;30
Carex_vesicata||NCBI_AUTHOR_Shekhovtsov_614;30
Carex_vexans|FLA|spm00001366;14
Carex_viridula|WAS|spm00004568;10.75
Carex_vixdentata|AGE|spm00002963;21
Carex_vulpina|GER|NCBI_HMH_2086;50
Carex_wahuensis_ssp_robusta||NCBI_Amano_SM00027;40
Carex_waponahkikensis|MAI|spm00002632;11.5
Carex_williamsii|YUK|spm00001969;7
Carex_woodii|IOW|spm00001790;22.5
Carex_xerantica|ONT|spm00001913;10.5
Carex_xiphium|KOR|NCBI_Jung_2387;15
Carex_zotovii||spm00004411;0
