original.name;bio12_Mean
Carex_careyana|KTY|spm00001401;992.0810811
Carex_caroliniana|ALA|spm00000815;1179.020833
Carex_carsei|NZ|NCBI_AUTHOR_Gardner_322;2911.875
Carex_caryophyllea|SPA|spm00002063;867.3214286
Carex_castanea|NFL|spm00001479;857.3150183
Carex_castroviejoi|GRC|NCBI_Vargas_3584;889.5
Carex_caucasica|NCS|spm00008001;1090.925926
Carex_caudata|SPA|spm00000529;1011.609756
Carex_cephaloidea|MAI|spm00000804;897.1851852
Carex_cephalophora|MRY|spm00000828;1031.358369
Carex_cercostachys|EHM|spm00005901;654.7391304
Carex_cespitosa_ssp_cespitosa|NOR|spm00003210;614.7347347
Carex_chathamica|NZ|NCBI_AUTHOR_Gardner_305;921.3333333
Carex_chordorrhiza|BRC|spm00001925;690.0853578
Carex_ciliatomarginata|CH|NCBI_Jin_2300;1792.614035
Carex_cinerascens|CHM|spm00004514;1442.2
Carex_cirrhosa|NZ|NCBI_AUTHOR_Gardner_318;1459.909091
Carex_clavispica|EHM|spm00005903;632.0833333
Carex_colchica|UKR|spm00002173;620.6779661
Carex_colensoi|NZ|NCBI_AUTHOR_Gardner_328;1562.7875
Carex_comans|NZ|NCBI_AUTHOR_Gardner_309;1958.65625
Carex_communis_var_communis|QUE|NCBI_Waterway_3720;1006.150579
Carex_comosa|CAL|spm00000826;951.7436975
Carex_concinna|MAN|NCBI_Kuzmina_2468;530.3120393
Carex_conferta|ETH|spm00000184;1165.583333
Carex_conjuncta|DEL|spm00000784;966.3850932
Carex_conoidea|DEL|spm00001428;987.3254902
Carex_coriophora|CHQ|spm00005694;401.7916667
Carex_corrugata|ALA|spm00000670;1232.445545
Carex_corynoidea|NZ|spm00005087;2544.831579
Carex_crawei|NFL|spm00001471;830.079646
Carex_crawfordii|ILL|spm00002161;848.6821192
Carex_crebriflora||spm00001043;1382.854839
Carex_cretica|KRI|spm00004382;358.5
Carex_crinita_var_crinita|MAI|spm00000801;933.961039
Carex_crispa||spm00004422;2563
Carex_cristatella|KTY|spm00000800;870.5780886
Carex_cruciata|CHC|spm00005699;1901.777778
Carex_cruenta|CHQ|spm00005700;587.8484848
Carex_cruscorvi|FLA|spm00000822;1086.836538
Carex_cryptolepis|ILL|spm00001730;876
Carex_cumberlandensis|ARK|spm00000817;1296.017857
Carex_cumulata|ILL|spm00000871;1039.042017
Carex_curaica|KRA|spm00002337;339.8965517
Carex_curatorum||spm00002016;291.44
Carex_curvicollis|JAP|spm00006868;1824.242915
Carex_curvula_ssp_curvula|SPA|spm00003091;1393.492308
Carex_cusickii|BRC|spm00002004;1193.25
Carex_cyanea|NZ|spm00005097;975.9473684
Carex_dacica|ICE|spm00003155;922.8231293
Carex_dallii|NZ|NCBI_AUTHOR_Gardner_310;2004.4375
Carex_davalliana|FIN|spm00003596;960.1906874
Carex_davyi|CAL|spm00001459;920.6666667
Carex_deasyi|EHM|spm00005198;363.8417722
Carex_debilis|OKL|spm00000863;1163.213358
Carex_decomposita|DEL|spm00000836;1239.239437
Carex_deflexa_var_deflexa|BRC|spm00002125;790.2035928
Carex_delicata|TZK|spm00003358;398
Carex_demissa_ssp_demissa|NSC|spm00001948;910.8108108
Carex_densa|ORE|spm00001669;950.3563218
Carex_densifimbriata|CH|NCBI_Liuo_2556;1489
Carex_depauperata|YUG|spm00000574;746.6896552
Carex_depressa_ssp_basilaris|SPA|spm00000547;1167.75
Carex_depressa_ssp_depressa|SPA|spm00000550;837.4615385
Carex_depressa_ssp_transsilvanica|YUG|spm00000546;896.0769231
Carex_deweyana_var_deweyana|MAN|spm00001039;780.6171875
Carex_diandra|CAL|spm00000840;744.8870491
Carex_digitalis|NWY|NCBI_Waterway_3702;1165.720588
Carex_digitata|ITA|spm00000569;768.6294416
Carex_diluta|TCS|spm00004364;456.04
Carex_dimorpholepis|KOR|NCBI_Na_2916;1716.506098
Carex_dioica|SWE|spm00004523;849.6142525
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338;2210.518519
Carex_dispalata|JAP|NCBI_Waterway_3652;1625.404412
Carex_disperma|ASK|spm00001652;697.3363874
Carex_dissitiflora|JAP|spm00007871;1730.652542
Carex_distachya|SPA|spm00000588;706.125
Carex_distans|GRC|spm00000844;787.182102
Carex_disticha|ONT|spm00005395;750.3609407
Carex_divisa|MRY|spm00002064;688.382732
Carex_divulsa|NET|spm00004392;792.036715
Carex_doniana|CHS|spm00000047;1969.677725
Carex_donnellsmithii||NCBI_Ton_3535;2171.826923
Carex_drucei||spm00004418;2656.8
Carex_drymophila|JAP|NCBI_Waterway_3672;707.1282051
Carex_durieui|SPA|spm00004386;1065.258065
Carex_duriuscula|ASK|spm00001653;463.854321
Carex_ebenea|ARI|spm00001870;706.556701
Carex_eburnea|MIC|spm00000842;806.1940559
Carex_echinata_ssp_echinata|ASK|spm00001633;1050.974843
Carex_echinodes|WIS|spm00002699;726.8689655
Carex_ecklonii|CPP|spm00004378;768.6666667
Carex_edura|NZS|spm00002184;2522.456897
Carex_edwardsiana|TEX|spm00002142;810.5
Carex_egmontiana||spm00004416;2984.233333
Carex_elata_ssp_elata|SPA|spm00003134;764.6865672
Carex_eleusinoides|ASK|spm00001623;456.7603306
Carex_elingamita|NZ|NCBI_AUTHOR_Gardner_320;1159
Carex_elongata|RUC|spm00005949;704.5694444
Carex_emoryi|DEL|spm00000885;769.947541
Carex_enervis||NCBI_Ho_2089;410.7647059
Carex_ensifolia|CHQ|spm00005713;479.2352941
Carex_erebus||spm00004424;1121.875
Carex_ericetorum|ITA|spm00000551;696.2176542
Carex_erythrovaginata|NZ|spm00005096;1443.653846
Carex_esenbeckii|EHM|spm00005193;989.5
Carex_exilis|DEL|spm00000887;992.2653061
Carex_extensa|VRG|spm00001853;780.5544413
Carex_falcata|CHC|spm00005715;1259
Carex_fedia|PAK|spm00005718;1089.083333
Carex_ferruginea|SWI|spm00000531;1186.703349
Carex_festucacea|TEX|spm00000892;1141.960177
Carex_feta|CAL|spm00000893;1041.230769
Carex_filicina|VIE|spm00007873;2238.560976
Carex_filifolia_var_filifolia|CAL|spm00001432;466.9772727
Carex_filipes|JAP|NCBI_Waterway_3666;1811.16129
Carex_fimbriata|SWI|spm00000552;1385.92
Carex_firma|ITA|spm00000520;1186.121951
Carex_fissirostris|MOR|spm00004379;637
Carex_flacca_ssp_erythrostachys|BAL|spm00000524;749.2142857
Carex_flacca_ssp_flacca|GRB|NCBI_Hill_1959;816.8905908
Carex_flaccosperma|LOU|spm00000671;1288.565217
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283;1447.607843
Carex_flava|NFL|spm00001483;875.5070838
Carex_flaviformis|NZ|spm00007227;2231.051282
Carex_foenea|BRC|spm00002000;759.0701754
Carex_foetida|SWI|spm00000565;1372.797872
Carex_foliosissima|JAP|NCBI_Waterway_3660;1760.271028
Carex_folliculata|DEL|spm00000911;1167.780347
Carex_forficula|KOR|NCBI_Na_2984;1628.375691
Carex_formosa|ILL|spm00001732;898.5375
Carex_forsteri|NZS|spm00002183;1695.483516
Carex_fracta|CAL|spm00000896;991.5487805
Carex_frankii|ALA|spm00000939;1083.78012
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326;1106.5
Carex_frigida|SPA|spm00000521;1240.38326
Carex_fritschii|HUN|spm00002174;706.8666667
Carex_fuliginosa_ssp_misandra|ASK|spm00001627;415.5652695
Carex_fulvorubescens|JAP|spm00006431;2983.363636
Carex_furva|SPA|spm00006018;918.3513514
Carex_fuscula|CLC|spm00004370;1135.209677
Carex_fusiformis|EHM|spm00005727;1040.333333
Carex_garberi|ASK|spm00001624;671.1367781
Carex_gaudichaudiana||NCBI_Ford_1659;1290.125541
Carex_gholsonii|ALA|spm00000953;1329.066667
Carex_gibba|CHH|spm00005244;1742.167568
Carex_gifuensis|KOR|spm00000331;1603.521739
Carex_glacialis|NFL|spm00001488;697.1541899
Carex_glareosa_ssp_glareosa|MAN|spm00001756;635.6057692
Carex_glaucodea|INI|spm00001525;1120.960396
Carex_glomerabilis|CPP|spm00000194;611.5945946
Carex_gmelinii|ASK|spm00001629;1068.866667
Carex_godfreyi|ALA|spm00001787;1296.142857
Carex_gracilenta|CHC|spm00005733;683.15
Carex_gracilescens|KTY|spm00000927;1102.57971
Carex_gracilior|CAL|spm00001692;922.0434783
Carex_gracillima|ALA|spm00000922;911.8697183
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651;2293.833333
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653;1692.290323
Carex_granularis|MAN|spm00001407;937.5304348
Carex_gravida|TEN|spm00000970;763.8717949
Carex_grayi|TEN|spm00000924;999.6431818
Carex_grioletii|SPA|spm00000585;1236
Carex_grisea|KTY|spm00000656;924.9208633
Carex_gynandra|DEL|spm00000964;1061.117188
Carex_gynocrates|ASK|spm00001630;676.9494048
Carex_gynodynama|CAL|spm00001688;1214.793103
Carex_halleriana|SPA|spm00000557;707.0450311
Carex_hallii|MAN|spm00001754;532.5882353
Carex_hamlinii|NZS|NCBI_AUTHOR_Gardner_333;2421.357143
Carex_harfordii|CAL|spm00000965;889.6829268
Carex_hartmanii|GER|spm00008007;671.7621622
Carex_haydeniana|UTA|spm00002432;688.488189
Carex_haydenii|WIS|spm00002433;903.1893204
Carex_healyi|NZN|spm00005107;1610.78125
Carex_hebecarpa|EHM|spm00005738;1376.166667
Carex_hectorii|NZ|NCBI_AUTHOR_Gardner_284;1229
Carex_heleonastes|ABT|spm00001954;617.0767824
Carex_helodes|POR|NCBI_Jose_2346;643.8571429
Carex_heterolepis|KOR|NCBI_Jung_2360;1610.783784
Carex_hirsutella|DEL|spm00000935;1079.153392
Carex_hirta|PEN|spm00000947;748.7105263
Carex_hirtifolia|QUE|spm00001475;954.4358209
Carex_hirtissima|CAL|spm00001694;1160.153846
Carex_hispida|KRI|spm00000549;596.7118644
Carex_hitchcockiana|KTY|spm00000657;927.7916667
Carex_hochstetteriana|AZO|NCBI_UPOS_3551;1113.122807
Carex_holostoma|ASK|spm00001631;404.1236559
Carex_hoodii|CAL|spm00001930;728.9331307
Carex_hookeriana|MAN|spm00005409;544.025
Carex_hordeistichos|SPA|spm00000579;659.6079295
Carex_horizontalis|NZS|spm00005106;2580.319231
Carex_hormathodes|NSC|spm00002114;1178.101604
Carex_hostiana|GER|spm00003273;1007.457112
Carex_houghtoniana|MAN|spm00001446;811.2826087
Carex_humilis|GER|NCBI_WM_3755;838.4669604
Carex_hyalina|MSI|spm00000912;1249.285714
Carex_hystericina|ARK|spm00001081;795.2105263
Carex_idaea|KRI|spm00004380;838
Carex_illota|CAL|spm00000961;1017.364238
Carex_imbecilla||spm00004419;2997.590551
Carex_impressinervia|MSI|spm00001784;1316.833333
Carex_inanis|EHM|spm00005746;978.7142857
Carex_infirminervia|CAL|spm00001398;919.2727273
Carex_infuscata|WHM|spm00008013;617.5151515
Carex_inopinata|NZ|NCBI_AUTHOR_Gardner_285;513
Carex_inops_ssp_heliophila||NCBI_Marriott_2795;614.1141869
Carex_insaniae_var_insaniae|JAP|spm00005753;1685.641509
