original.name;bio1_Mean
Carex_abrupta|CAL|spm00002224;36.16666667
Carex_abscondita|MRY|spm00000676;146.2312139
Carex_acaulis|CLS|spm00000518;86.16666667
Carex_acidicola|ALA|spm00000658;170.2
Carex_acuta|ITA|spm00003084;58.28952772
Carex_acutiformis|TVL|spm00002122;84.41906653
Carex_adelostoma|ASK|spm00001619;-2.196290572
Carex_adusta|ABT|spm00002072;25.23243243
Carex_aestivalis|PEN|spm00000681;90
Carex_aethiopica|CPP|spm00004365;158.3043478
Carex_agastachys|AUT|spm00001197;112.5
Carex_aggregata|KTY|spm00000685;114.705036
Carex_alata|ALA|spm00000687;133.6845638
Carex_alatauensis|AFG|spm00003401;11.5
Carex_alba|SPA|spm00000584;64.382263
Carex_albata|JAP|spm00005254;87.69421488
Carex_albicans_var_emmonsii|DEL|spm00000699;106.6407186
Carex_albolutescens|OKL|spm00000694;141.4074074
Carex_albonigra|ASK|spm00001621;-17.66666667
Carex_albula|NZ|NCBI_AUTHOR_Gardner_304;95.92307692
Carex_albursina|KTY|spm00001384;89.82132565
Carex_alopecoidea|ILL|spm00001728;58.09444444
Carex_alopecuroides|KOR|spm00000321;136.4666667
Carex_amphibola|ALA|spm00000654;120.7753623
Carex_angustata|CAL|spm00000713;68.86764706
Carex_annectens|ALA|spm00000730;116.3529412
Carex_anthoxanthea|WAS|spm00001568;22.3877551
Carex_aperta|BRC|spm00001842;73.15189873
Carex_appalachica|MAS|spm00000721;88.53012048
Carex_appendiculata|KHA|spm00006476;-24.20779221
Carex_appropinquata|GER|spm00002248;55.86748466
Carex_aquatilis_var_aquatilis|NFL|spm00001485;2.900163666
Carex_aquatilis_var_dives||NCBI_Janeway_2155;68.79411765
Carex_aquatilis_var_minor||NCBI_Bennett_893;-91.98676749
Carex_arcta|ASK|spm00000710;41.78490566
Carex_arctata|WIS|spm00000731;44.75105485
Carex_arctiformis|BRC|spm00001851;72.78571429
Carex_arctogena|CAL|NCBI_CAL_55;-20.82622951
Carex_arenaria|DEL|spm00000733;91.04993598
Carex_argunensis|KHA|spm00006472;-40.11428571
Carex_argyrantha|MRY|spm00000734;65.5
Carex_arisanensis|TAI|spm00006420;177.2380952
Carex_arnellii|SWE|spm00003783;13.05454545
Carex_assiniboinensis|MAN|spm00000722;43.67021277
Carex_astricta||spm00004420;106.2716049
Carex_asturica|SPA|spm00004385;82.64130435
Carex_asynchrona|MXE|spm00000257;184.8888889
Carex_aterrima_ssp_aterrima|CZE|spm00007989;-57.1
Carex_aterrima_ssp_medwedewii|TCS|spm00003468;12.81081081
Carex_atherodes|BRC|spm00001849;34.58362369
Carex_athrostachya|CAL|spm00000727;54.54913295
Carex_atlantica_ssp_atlantica|FLA|spm00000718;117.6975309
Carex_atlantica_ssp_capillacea|PEN|spm00005432;127.1487179
Carex_atrata|AUT|spm00007990;14.09169054
Carex_atratiformis|ABT|spm00001751;-4.125523013
Carex_atrofusca|ASK|spm00001654;-40.58207218
Carex_aucklandica||spm00004410;85.6
Carex_augustinowiczii|SAK|spm00007995;35.12765957
Carex_aurea||spm00000767;34.02118644
Carex_auriculata|KOR|spm00000345;30.05714286
Carex_austroalpina|SPA|spm00000535;57.37096774
Carex_austrocaroliniana|NCA|spm00001729;130.1724138
Carex_austrocompacta|TDC|spm00005930;81.93877551
Carex_baccans||spm00007862;189.1294118
Carex_backii|BRC|spm00002007;40.25888325
Carex_baldensis|SWI|spm00005242;77.13043478
Carex_banksiana|NZ|spm00005085;124.0366972
Carex_bebbii|MAN|spm00000745;43.30685358
Carex_bella|COL|spm00001721;23.75675676
Carex_bequaertii_ssp_bequaertii|KEN|spm00000176;127.8666667
Carex_berggrenii|NZ|NCBI_AUTHOR_Gardner_327;67.04444444
Carex_bicknellii|INI|spm00000744;94.21132075
Carex_bicolor|ASK|spm00001622;-22.62732919
