original.name;Culm.length.mp
Carex_resectans|NZN|spm00002618;15
Carex_retroflexa|DEL|spm00001190;42.5
Carex_retrorsa|MIC|spm00001210;57.5
Carex_reuteriana_ssp_mauritanica|SPA|spm00003162;100
Carex_reuteriana_ssp_reuteriana|SPA|spm00003202;100
Carex_rhizina_ssp_rhizina|AUT|spm00002182;35
Carex_richardsonii|MRY|spm00001220;23
Carex_riloensis|BUL|spm00003599;23.5
Carex_riparia|GRB|NCBI_Blackstock_SM00004;100
Carex_rochebrunii|CHT|spm00006409;37.5
Carex_roraimensis||NCBI_Reznicek_3159;52.5
Carex_rorulenta|BAL|spm00003474;6.5
Carex_rosea|MAI|spm00001214;55
Carex_rossii|CAL|spm00001201;18.5
Carex_rostrata|WAS|spm00001600;49
Carex_rotundata|MAN|spm00001749;32.5
Carex_rufina||NCBI_Anderberg_80;9.5
Carex_rufulistolon|EHM|spm00005833;7
Carex_runssoroensis|UGA|spm00000227;40
Carex_rupestris|FRA|spm00005213;12.5
Carex_salina|QUE|spm00001953;20.5
Carex_sartwellii|BRC|spm00001982;80
Carex_satsumensis|TAI|spm00005838;13.5
Carex_saxatilis|UTA|spm00001223;49
Carex_saximontana|COL|spm00001727;18.25
Carex_scabrata|QUE|NCBI_Waterway_3706;60
Carex_scabriuscula|CAL|spm00001246;50
Carex_scaposa|CHC|spm00007891;50
Carex_schweickerdtii|NAT|spm00007770;82.5
Carex_scirpoidea_ssp_scirpoidea|ASK|spm00001248;20
Carex_scoparia|MAI|spm00001255;60
Carex_scopulorum_var_bracteosa|YUK|spm00006477;38
Carex_scopulorum_var_prionophylla|WAS|spm00004556;62.5
Carex_secalina|HUN|spm00004542;18.5
Carex_secta|NZ|NCBI_Waterway_3650;62.5
Carex_sectoides|NZ|NCBI_AUTHOR_Gardner_306;70
Carex_sempervirens_ssp_sempervirens|SWI|spm00000540;25
Carex_seorsa|DEL|spm00001242;45
Carex_shimidzensis|JAP|NCBI_AUTHOR_Senni_591;75
Carex_shinnersii|TEN|spm00001225;75
Carex_siccata|ONT|spm00002070;52.5
Carex_siderosticta||spm00007900;25
Carex_silicea|DEL|spm00001232;50
Carex_silvestris||spm00004421;25
Carex_simensis|UGA|spm00000233;50.5
Carex_simpliciuscula|CHT|spm00003402;20
Carex_simulata|CAL|spm00001284;50
Carex_socialis|ALA|spm00001288;45
Carex_sociata|JAP|spm00006686;37.5
Carex_songorica|TZK|spm00003384;40
Carex_sordida|CHM|spm00004515;25
Carex_sparganioides|DEL|spm00001289;65
Carex_spartea|NAT|spm00007814;52.5
Carex_speciosa_ssp_speciosa|EHM|spm00005853;22.5
Carex_spectabilis|BRC|spm00001979;37.5
Carex_spicata_ssp_spicata|BUL|spm00001272;47.5
Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323;27.5
Carex_sprengelii|NBR|spm00001766;60
Carex_squarrosa|ARK|spm00001281;55
Carex_stenantha_var_taisetsuensis|SAK|spm00006798;17.5
Carex_stenocarpa|CHC|spm00003385;37.5
Carex_stenophylla|HUN|spm00002178;25
Carex_stenostachys|JAP|spm00006689;40
Carex_stipata_var_stipata|MAN|spm00001253;80
Carex_straminea|DEL|spm00001252;67.5
Carex_striatula|DEL|spm00001264;53.5
Carex_stricta|TEX|spm00001296;100
Carex_strictissima|NZS|spm00004413;42.5
Carex_strigosa|AUT|spm00003302;65
Carex_styloflexa|GEO|spm00001299;53
Carex_stylosa|NFL|spm00001490;32.5
Carex_subbracteata|CAL|spm00001955;66
Carex_subcapitata|CH|NCBI_Jin_2301;25
Carex_suberecta|ARK|spm00001559;60
Carex_subfusca|CAL|spm00001868;62
Carex_subspathacea||NCBI_Reznicek_3165;9
Carex_subtilis||spm00004415;9.5
Carex_subviridis||spm00004429;37.5
Carex_supina_var_spaniocarpa|ASK|spm00001794;17.5
Carex_supina_var_supina|TCS|spm00006391;12.5
Carex_swanii|ARK|spm00001304;45
Carex_sychnocephala|ONT|spm00001900;24
Carex_sylvatica|WAS|spm00001590;67.5
Carex_tenera|MAN|spm00001750;60
Carex_tenuiculmis|NZS|NCBI_AK_311164;35
Carex_tenuiflora|MAN|spm00001313;30
Carex_testacea|NZ|NCBI_AUTHOR_Gardner_291;45
Carex_tetanica|MAN|spm00001314;40
Carex_tetrastachya|TEX|spm00001269;65
Carex_thornei|FLA|spm00000659;38.5
Carex_thunbergii||NCBI_Semsrott_3381;45
Carex_tincta|MAI|spm00001342;55
Carex_tomentosa|SPA|spm00000568;35
Carex_tonsa||spm00001317;10
Carex_torreyi|COL|spm00001708;32.5
Carex_torta||NCBI_Dragon_1288;50
Carex_trachycarpa||spm00002713;18.5
Carex_traiziscana|JAP|spm00006095;45
Carex_tribuloides_var_sangamonensis|MSI|spm00002714;80
Carex_tribuloides_var_tribuloides|SCA|spm00001323;80
Carex_tricolor|BUL|spm00003600;17.5
Carex_trifida|NZ|NCBI_AUTHOR_Gardner_292;52.5
Carex_trinervis|SPA|spm00003778;20
Carex_trisperma_var_trisperma|GNL|spm00006097;45
Carex_tristachya_var_pocilliformis|KOR|spm00000352;27.5
Carex_tristachya_var_tristachya|CHS|spm00000132;35
Carex_tristis|IRN|spm00000599;30
Carex_troodi|CYP|spm00004356;27.5
Carex_tsushimensis|KOR|spm00000353;40
Carex_typhina|LOU|spm00001330;55
Carex_uhligii|NAT|spm00003194;55
Carex_umbellata|DEL|spm00001376;5.25
Carex_umbricola||spm00005220;57.5
Carex_umbrosa_ssp_huetiana|TCS|spm00003480;25
Carex_umbrosa_ssp_sabynensis||NCBI_Murray_2912;22.5
Carex_uncifolia|NZ|NCBI_AUTHOR_Gardner_303;5
Carex_uncinata|NZN|spm00005112;31.5
Carex_ursina|YUK|spm00001975;6
Carex_ussuriensis|CHS|spm00000533;30
Carex_utriculata|ASK|spm00001379;62.5
Carex_vaginata|YUK|spm00001974;33.5
Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312;52.5
Carex_vernacula|CAL|spm00005382;24
Carex_vesicaria|DEL|spm00001360;60
Carex_vesicata||NCBI_AUTHOR_Shekhovtsov_614;50
Carex_vexans|FLA|spm00001366;52.5
Carex_viridula|WAS|spm00004568;43.5
Carex_vixdentata|AGE|spm00002963;35
Carex_vulpina|GER|NCBI_HMH_2086;65
Carex_vulpinoidea|CAL|spm00001351;65
Carex_wahuensis_ssp_robusta||NCBI_Amano_SM00027;60
Carex_waponahkikensis|MAI|spm00002632;60
Carex_willdenowii|KTY|spm00000624;18.95
Carex_woodii|IOW|spm00001790;50
Carex_xerantica|ONT|spm00001913;42.5
Carex_xiphium|KOR|NCBI_Jung_2387;37.5
Carex_zikae|WAS|spm00001573;10.5
Carex_zotovii||spm00004411;45
