original.name;Culm.length.mp
Carex_cinerascens|CHM|spm00004514;42.5
Carex_cirrhosa|NZ|NCBI_AUTHOR_Gardner_318;2.5
Carex_clavispica|EHM|spm00005903;12
Carex_colchica|UKR|spm00002173;20
Carex_colensoi|NZ|NCBI_AUTHOR_Gardner_328;14.5
Carex_comans|NZ|NCBI_AUTHOR_Gardner_309;15.5
Carex_communis_var_communis|QUE|NCBI_Waterway_3720;40
Carex_comosa|CAL|spm00000826;85
Carex_concinna|MAN|NCBI_Kuzmina_2468;12.75
Carex_conferta|ETH|spm00000184;60
Carex_conjuncta|DEL|spm00000784;60
Carex_conoidea|DEL|spm00001428;38.5
Carex_coriophora|CHQ|spm00005694;60
Carex_corrugata|ALA|spm00000670;52.5
Carex_corynoidea|NZ|spm00005087;37.5
Carex_crawei|NFL|spm00001471;16
Carex_crawfordii|ILL|spm00002161;42.5
Carex_crebriflora||spm00001043;43.5
Carex_cretica|KRI|spm00004382;22.5
Carex_crinita_var_crinita|MAI|spm00000801;87.5
Carex_crispa||spm00004422;14
Carex_cristatella|KTY|spm00000800;65
Carex_cruciata|CHC|spm00005699;65
Carex_cruenta|CHQ|spm00005700;47.5
Carex_cruscorvi|FLA|spm00000822;65
Carex_cryptolepis|ILL|spm00001730;30
Carex_cumberlandensis|ARK|spm00000817;17
Carex_cumulata|ILL|spm00000871;50
Carex_curaica|KRA|spm00002337;29
Carex_curatorum||spm00002016;63
Carex_curvicollis|JAP|spm00006868;30
Carex_curvula_ssp_curvula|SPA|spm00003091;16.5
Carex_cusickii|BRC|spm00002004;66.5
Carex_cyanea|NZ|spm00005097;45
Carex_davalliana|FIN|spm00003596;25
Carex_davyi|CAL|spm00001459;30
Carex_deasyi|EHM|spm00005198;31.5
Carex_debilis|OKL|spm00000863;62.5
Carex_decomposita|DEL|spm00000836;62.5
Carex_deflexa_var_deflexa|BRC|spm00002125;18
Carex_demissa_ssp_demissa|NSC|spm00001948;19.25
Carex_densa|ORE|spm00001669;50
Carex_densifimbriata|CH|NCBI_Liuo_2556;55
Carex_depauperata|YUG|spm00000574;65
Carex_depressa_ssp_basilaris|SPA|spm00000547;25
Carex_depressa_ssp_depressa|SPA|spm00000550;17.5
Carex_depressa_ssp_transsilvanica|YUG|spm00000546;12.5
Carex_derelicta|CZE|spm00003351;17.5
Carex_deweyana_var_deweyana|MAN|spm00001039;51.5
Carex_diandra|CAL|spm00000840;46
Carex_digitalis|NWY|NCBI_Waterway_3702;29.5
Carex_digitata|ITA|spm00000569;20
Carex_diluta|TCS|spm00004364;35
