generation,N_shifts,logPrior,logLik,eventRate,acceptRate
8452000,8,-130.062,-6093.99,10.1127,0.4979
8453000,6,-129.188,-6088.87,12.2279,0.478
8454000,15,-160.859,-6072.07,12.8994,0.477667
8455000,18,-166.19,-6049.32,18.6896,0.467
8456000,12,-117.629,-6049.78,11.6473,0.497667
8457000,11,-119.058,-6065.24,13.7885,0.527
8458000,22,-143.81,-6071.27,27.3815,0.498
8459000,11,-124.658,-6071.95,13.1716,0.5004
8460000,4,-117.856,-6078.78,3.80604,0.491
8461000,21,-120.703,-6062.42,20.3915,0.4905
8462000,19,-134.196,-6065.24,14.1883,0.468
8463000,20,-122.737,-6066.19,18.772,0.487
8464000,11,-131.076,-6096.23,11.9686,0.500286
8465000,15,-127.714,-6105.85,10.431,0.48
8466000,14,-129.945,-6112.42,10.9466,0.522
8467000,13,-127.008,-6130.67,13.9575,0.496
8468000,18,-145.452,-6088.53,16.8749,0.4896
8469000,26,-139.65,-6094.99,23.053,0.497
8470000,29,-136.168,-6088.59,26.2484,0.484
8471000,25,-147.338,-6112.12,22.4204,0.488
8472000,26,-151.599,-6090.47,21.7072,0.487
8473000,34,-151.043,-6086.79,43.1616,0.486
8474000,19,-126.098,-6103.45,11.0491,0.502571
8475000,37,-123.011,-6077.18,31.5314,0.496583
8476000,32,-129.188,-6070.57,22.486,0.486
8477000,28,-123.42,-6086.9,24.4882,0.477
8478000,23,-141.074,-6068.85,21.6058,0.4868
8479000,26,-119.711,-6059.09,28.2681,0.4965
8480000,33,-111.742,-6062.76,26.1887,0.49
8481000,8,-134.205,-6097.48,10.6893,0.491
8482000,26,-120.171,-6037.2,26.3024,0.467
8483000,28,-114.439,-6047.03,22.7211,0.465
8484000,29,-112.102,-6044.45,27.8489,0.493
8485000,33,-116.585,-6046.47,31.6609,0.466
8486000,31,-121.72,-6064.53,42.5914,0.497
8487000,26,-119.072,-6063.45,29.6716,0.486
8488000,25,-114.283,-6048.96,21.0352,0.468
8489000,9,-135.596,-6113.99,7.80169,0.493875
8490000,4,-121.845,-6110.41,6.16442,0.488467
8491000,10,-121.106,-6136.92,5.953,0.475
8492000,8,-123.994,-6126.96,6.29794,0.484
8493000,8,-144.131,-6101,9.04443,0.4895
8494000,10,-146.308,-6124.56,7.6167,0.491
8495000,12,-150.706,-6105.52,15.5057,0.5
8496000,12,-142.715,-6108.18,9.14562,0.51
8497000,7,-128.027,-6130.99,12.7329,0.483
8498000,20,-138.686,-6072.12,15.8543,0.4785
8499000,22,-134.186,-6048.55,25.1378,0.492
8500000,26,-134.27,-6065.26,26.3346,0.502
8501000,26,-130.882,-6084.29,19.6413,0.494
8502000,20,-130.642,-6090.84,16.7331,0.476
8503000,21,-131.801,-6108.51,15.3057,0.485
8504000,19,-138.459,-6095.41,12.8691,0.494
8505000,12,-137.853,-6082.55,11.3132,0.457
8506000,17,-139.058,-6091.16,14.5955,0.491
8507000,18,-134.422,-6086.06,11.8357,0.496
8508000,18,-138.32,-6080.37,14.6824,0.499
8509000,20,-129.111,-6104.6,27.489,0.489167
8510000,15,-126.345,-6144.51,15.4003,0.493278
8511000,20,-133.554,-6081.62,17.4914,0.477
8512000,16,-130.605,-6119.26,7.16002,0.496667
8513000,14,-135.051,-6114.77,15.5939,0.493
8514000,15,-133.182,-6112.94,12.3087,0.504
8515000,13,-134.152,-6077.47,12.0572,0.506
8516000,11,-126.363,-6100.33,9.52276,0.5175
8517000,11,-132.743,-6060.89,10.6328,0.493
8518000,8,-134.079,-6109.28,9.675,0.5082
8519000,9,-131.243,-6053.45,11.5425,0.478
8520000,15,-129.33,-6081.47,12.6572,0.509
8521000,11,-134.847,-6102.15,11.8783,0.491333
8522000,13,-155.676,-6079.35,9.09964,0.487091
8523000,11,-134.821,-6146.65,11.8682,0.500571
8524000,13,-131.768,-6080.88,9.64282,0.488
8525000,12,-131.57,-6063.21,7.93359,0.452
8526000,5,-140.415,-6076.36,6.12326,0.482
8527000,10,-123.655,-6083.38,9.93369,0.456
8528000,7,-120.726,-6082.23,11.8028,0.484
8529000,8,-141.987,-6095.02,4.95785,0.477
8530000,18,-143.806,-6065.82,19.3239,0.481
8531000,21,-139.057,-6040.07,16.9576,0.502
8532000,21,-133.881,-6043.62,15.3331,0.51
8533000,24,-130.138,-6040.46,17.0265,0.467
8534000,27,-130.294,-6035.04,27.3869,0.502
8535000,10,-127.544,-6066.97,18.4071,0.493667
8536000,17,-141.488,-6076.82,16.6784,0.488714
8537000,10,-122.696,-6050.96,7.21715,0.487
8538000,9,-123.619,-6049.14,18.8435,0.511
8539000,11,-119.718,-6039.11,11.4698,0.486
8540000,13,-113.096,-6024.45,11.1983,0.467
8541000,14,-111.611,-6041.42,11.487,0.48
8542000,8,-115.91,-6053.03,4.46873,0.483
8543000,9,-122.334,-6103.73,9.71202,0.465
8544000,7,-127.157,-6084.27,5.27472,0.485952
8545000,23,-125.419,-6053.63,25.5928,0.481364
8546000,28,-121.104,-6036.96,35.2294,0.501
8547000,35,-117.75,-6038.69,29.8758,0.493
8548000,28,-126.192,-6044.07,28.4477,0.442
8549000,35,-131.512,-6050.8,29.1682,0.471
8550000,36,-124.382,-6019.03,37.6081,0.47
8551000,35,-116.246,-6036.33,40.0694,0.471
8552000,35,-126.227,-6039.55,36.823,0.48
8553000,27,-133.362,-6052.43,28.82,0.507
8554000,21,-129.251,-6029.79,23.0048,0.459
8555000,15,-137.004,-6029.56,15.8414,0.473
8556000,17,-139.162,-6054.87,20.8266,0.476
8557000,17,-123.484,-6091.7,13.3524,0.485714
8558000,18,-125.671,-6073.59,19.7756,0.4835
8559000,16,-113.705,-6090.68,16.7672,0.5045
8560000,12,-116.524,-6064.2,6.8183,0.513
8561000,19,-124.911,-6056.36,24.5102,0.51
8562000,24,-115.074,-6075.39,17.1581,0.497
8563000,26,-113.784,-6078.93,24.8397,0.488
8564000,29,-103.717,-6064.53,41.6615,0.486
8565000,21,-112.889,-6081.72,15.6336,0.485
8566000,26,-123.639,-6078.86,24.3976,0.482
8567000,22,-123.808,-6071.96,22.5857,0.487
8568000,20,-148.166,-6058.36,18.8432,0.484
8569000,18,-137.206,-6076.02,18.4819,0.461
8570000,10,-123.683,-6086.66,9.47963,0.493333
8571000,26,-119.22,-6107.92,25.8238,0.497538
8572000,23,-127.367,-6113.54,18.7053,0.461
8573000,23,-123.068,-6094.65,19.3245,0.504
8574000,16,-123.199,-6097.43,17.4564,0.52
8575000,15,-125.384,-6082.76,8.95049,0.493
8576000,20,-127.136,-6077.47,23.2385,0.477
8577000,21,-116.496,-6039.64,30.5682,0.52
8578000,24,-111.413,-6055.5,15.6616,0.484
8579000,6,-126.813,-6075.86,2.8151,0.492343
